Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
AeA01001_CKDL210012719-1a-AK9141-7UDI214_HF5TCDSX2_L1_fastp	66.5343	53.258700000000005	55.0746	52.9612	52.7586	52.476800000000004	51.732299999999995	54.01780000000001	53.9272	51.8334	56.69800000000001	56.1728	54.6794	53.562200000000004	53.7402	53.6563	54.006299999999996	54.5133	54.0377	54.5365	54.0118	54.1616	53.235699999999994	53.1852	52.4141	52.632400000000004	52.8169	52.93449999999999	53.68579999999999	52.8114	53.37499999999999	52.991299999999995	51.7253	50.0945	50.0249	48.7786	50.8775	51.961400000000005	52.102000000000004	50.8939	50.9914	49.4427	50.0806	48.409400000000005	48.1186	48.850100000000005	48.8273	47.0519	50.108399999999996	48.493199999999995	50.871100000000006	52.02719999999999	51.9905	50.897499999999994	51.4151	51.592800000000004	51.4223	52.2062	53.081500000000005	53.230599999999995	53.525999999999996	53.2246	53.29089999999999	53.4012	53.4212	53.44839999999999	53.48650000000001	53.3211	53.063	52.4958	51.80590000000001	49.8939	46.5113	41.9157	41.4345	42.1922	43.3741	44.013600000000004	46.501599999999996	51.479699999999994	53.906200000000005	54.1612	54.5065	55.18300000000001	55.49190000000001	55.45	55.5132	56.1371	56.3158	56.2179	56.7936	56.600300000000004	56.7232	56.892399999999995	57.036	57.633599999999994	57.557199999999995	57.6578	57.7557	58.0504	57.9527	58.023	58.0872	58.07600000000001	58.4767	58.1952	58.39	58.3712	58.5298	58.729	58.7384	58.8044	58.7558	58.706	58.730000000000004	58.9409	58.96	58.906000000000006	59.2144	59.186099999999996	59.5453	59.5023	59.5658	59.7707	59.79600000000001	59.9981	60.1119	60.348400000000005	60.606	60.807100000000005	60.96040000000001	61.121	61.25469999999999	61.3737	61.645700000000005	61.772800000000004	61.9148	62.1367	62.1974	62.445499999999996	62.3919	62.494099999999996	62.5528	62.7196	62.77890000000001	63.014700000000005	63.19630000000001	63.2548	63.471900000000005	63.553000000000004
AeA01002_CKDL210012719-1a-AK9141-AK4971_HF5TCDSX2_L1_fastp	65.24889999999999	53.3733	54.7677	52.935900000000004	52.5197	52.2027	51.4318	53.78079999999999	53.638	51.9137	56.2217	55.897200000000005	54.471000000000004	53.296299999999995	53.5053	53.4824	53.854400000000005	54.3377	53.9041	54.4809	54.0362	54.0118	53.1196	53.0338	52.3424	52.50899999999999	52.680499999999995	52.823	53.5909	52.605900000000005	53.17380000000001	52.6635	50.6389	47.9454	48.0853	51.6382	52.6964	53.19199999999999	53.2025	53.112700000000004	52.8834	52.34910000000001	52.3761	51.8868	51.9256	51.987899999999996	52.07000000000001	51.2302	52.3955	51.381600000000006	52.177099999999996	53.1103	52.9397	52.188100000000006	52.5398	52.611200000000004	52.8026	52.904700000000005	53.551899999999996	53.3589	53.4554	53.1164	53.2541	53.4823	53.626799999999996	53.534000000000006	53.575399999999995	53.6471	53.581599999999995	53.101299999999995	52.916399999999996	51.547399999999996	48.4271	43.3771	42.869299999999996	43.3877	44.4638	45.0519	47.6815	52.0624	54.024300000000004	54.237	54.4364	55.0894	55.38419999999999	55.1874	55.214	55.8774	55.96020000000001	55.81660000000001	56.321200000000005	56.1194	56.254000000000005	56.3866	56.4748	57.0659	57.0747	57.0632	57.2093	57.4032	57.3984	57.425599999999996	57.4898	57.4599	57.939099999999996	57.613800000000005	57.863299999999995	57.8789	58.0522	58.2546	58.210899999999995	58.3616	58.2898	58.2404	58.2642	58.477000000000004	58.4797	58.450599999999994	58.7198	58.7232	59.004999999999995	59.039699999999996	58.9642	59.2384	59.2642	59.4273	59.5767	59.8155	60.064099999999996	60.240700000000004	60.3362	60.5819	60.6758	60.77289999999999	60.9626	61.2156	61.305699999999995	61.49059999999999	61.5062	61.7401	61.6879	61.866	61.930099999999996	62.0193	62.0719	62.335499999999996	62.509899999999995	62.5813	62.8	62.8464
AeA01003_CKDL210012719-1a-AK9141-AK1864_HF5TCDSX2_L1_fastp	57.794599999999996	43.4764	44.8141	42.4254	42.2767	41.7648	40.9822	43.5811	43.4031	41.4696	46.544200000000004	46.1209	44.5625	43.289899999999996	43.4017	43.3339	43.8876	44.4554	43.9724	44.701299999999996	44.1111	44.1954	43.0661	43.085699999999996	42.3212	42.6562	42.8401	43.0419	43.9598	43.075599999999994	43.6096	43.5556	43.040299999999995	43.1798	42.566199999999995	43.6724	43.0082	43.5988	43.1121	43.1952	42.9533	42.5824	42.4733	42.2719	42.2709	42.5186	42.599900000000005	42.477	43.1392	42.2171	42.8377	43.6731	43.2967	42.7143	43.0453	42.9431	43.5344	43.2401	43.9777	43.5805	43.717600000000004	43.2597	43.4872	43.7529	44.0786	43.9046	44.0652	44.1781	44.346999999999994	43.9698	43.947900000000004	43.4686	43.0672	41.7005	41.7463	41.9789	42.6215	42.594500000000004	43.4757	44.4636	45.1319	45.2324	45.4728	46.1966	46.4901	46.393499999999996	46.2689	47.0063	47.17	47.019800000000004	47.6493	47.4298	47.6023	47.7862	47.9583	48.666599999999995	48.5431	48.5989	48.7772	49.1156	49.0664	49.1365	49.203599999999994	49.1223	49.660900000000005	49.3087	49.532199999999996	49.593199999999996	49.7343	49.9518	49.9257	50.102500000000006	49.9284	49.9422	49.9229	50.1548	50.17509999999999	50.1013	50.45420000000001	50.4201	50.7853	50.7815	50.8113	51.0501	51.1051	51.378299999999996	51.5288	51.7598	51.995599999999996	52.3016	52.4823	52.672200000000004	52.8742	53.0041	53.296600000000005	53.5039	53.6611	53.8834	53.9409	54.2619	54.1698	54.36919999999999	54.405300000000004	54.620999999999995	54.74099999999999	54.95759999999999	55.2237	55.2609	55.5761	55.672399999999996
AeA01004_CKDL210012719-1a-AK9141-AK7558_HF5TCDSX2_L1_fastp	60.7529	48.254599999999996	49.6783	47.7112	47.3672	47.099999999999994	46.2807	48.5232	48.5408	46.8117	51.031400000000005	50.8301	49.296	48.2628	48.356	48.328199999999995	48.6315	49.0415	48.6545	49.3346	48.8718	48.8442	47.9489	48.0114	47.3912	47.491699999999994	47.713100000000004	47.8096	48.5252	47.688	48.3413	48.064	47.5906	47.4789	47.2223	47.6325	47.4499	46.94	47.4656	47.9112	47.6671	47.094500000000004	47.2014	46.6173	46.6661	46.8241	46.9054	46.0458	47.4257	46.4116	47.0621	48.0026	47.707699999999996	47.1643	47.4734	47.436099999999996	47.838300000000004	47.8598	48.539	48.2472	48.3984	48.0699	48.3185	48.4554	48.675200000000004	48.5677	48.6859	48.7054	48.842600000000004	48.166599999999995	48.1552	47.0991	45.042	41.9161	41.665400000000005	42.1593	43.147200000000005	43.4631	45.109300000000005	48.1377	49.5747	49.866899999999994	49.9552	50.800900000000006	51.0414	51.0064	50.98780000000001	51.6759	51.764500000000005	51.8169	52.3273	52.215599999999995	52.3742	52.5996	52.6671	53.40859999999999	53.27499999999999	53.1948	53.535900000000005	53.665600000000005	53.7961	53.7831	53.6672	53.7404	54.1759	54.0396	54.1269	54.1125	54.427899999999994	54.553700000000006	54.4679	54.8047	54.5941	54.5037	54.700199999999995	54.9301	54.7791	54.9832	55.132400000000004	55.1585	55.5523	55.581100000000006	55.5862	55.854000000000006	55.9104	56.110800000000005	56.3855	56.3913	56.5843	56.867000000000004	57.072599999999994	57.3735	57.459	57.5666	57.8932	58.1232	58.377199999999995	58.2248	58.526	58.6641	58.7522	58.8371	59.0648	59.15820000000001	59.3014	59.616	59.8549	59.7972	60.234	60.210300000000004
AeA01005_CKDL210012719-1a-AK9141-7UDI308_HF5TCDSX2_L1_fastp	62.2394	49.2179	50.9103	48.8899	48.8771	48.5159	47.6946	49.9831	49.9642	48.065999999999995	52.3501	52.1895	50.6039	49.5632	49.899100000000004	49.559799999999996	50.066900000000004	50.38249999999999	50.083200000000005	50.446400000000004	50.2162	50.1564	49.3351	49.2352	48.8159	48.8051	49.0047	49.1377	49.7979	48.992999999999995	49.6031	49.0621	49.1942	48.8875	48.9358	49.4072	48.5341	49.3249	48.9143	49.177	49.1243	48.842400000000005	48.9836	48.8314	48.790099999999995	48.7352	48.8344	48.6766	48.97	48.6233	48.6718	49.4003	49.412	48.777100000000004	49.0375	49.223099999999995	49.4125	49.3031	50.0513	49.6926	49.7749	49.5747	49.7043	49.9259	50.09289999999999	50.084300000000006	50.0436	50.382000000000005	50.119	49.9767	50.0058	48.8369	46.3671	42.7444	42.385600000000004	42.6498	43.7637	44.2312	46.164899999999996	49.7451	51.354699999999994	51.668099999999995	51.79240000000001	52.3377	52.6791	52.6744	52.7995	53.3072	53.5131	53.47070000000001	53.946099999999994	53.943799999999996	54.0644	54.2613	54.2802	54.9434	54.9834	55.161899999999996	55.211	55.4874	55.513	55.3948	55.792699999999996	55.5809	56.104699999999994	55.80199999999999	56.0205	56.27720000000001	56.0736	56.334399999999995	56.4182	56.4378	56.2976	56.422700000000006	56.280300000000004	56.615300000000005	56.5175	56.562999999999995	56.7639	56.7984	56.9843	57.247099999999996	57.0619	57.3787	57.387299999999996	57.5763	57.687999999999995	58.034699999999994	58.1838	58.499199999999995	58.5921	58.7894	58.9885	59.0845	59.2044	59.5066	59.508	59.761399999999995	59.9883	60.0921	60.0744	60.368500000000004	60.39099999999999	60.5638	60.7434	61.0888	61.1129	61.3299	61.6302	61.84420000000001
AeA01006_CKDL210012719-1a-AK9141-AK2587_HF5TCDSX2_L1_fastp	61.6407	46.559400000000004	48.6317	46.5733	46.1203	45.671800000000005	44.860499999999995	47.6418	47.3257	45.130900000000004	50.68319999999999	50.056400000000004	48.2326	47.1222	47.2454	47.1511	47.650999999999996	47.9225	47.6338	48.2289	47.6999	47.7541	46.9589	46.79	46.2223	46.4853	46.5096	46.8009	47.4382	46.665600000000005	47.2814	47.0544	46.638000000000005	46.6697	46.0135	47.056599999999996	46.4833	47.230199999999996	46.8221	47.0787	46.788999999999994	46.549099999999996	46.5221	46.5216	46.4776	46.5894	46.6194	46.549099999999996	46.8091	46.253	46.485	47.1408	46.8758	46.2804	46.6752	46.6158	46.988400000000006	46.7896	47.3871	46.9609	47.0313	46.7471	46.8144	47.0418	47.2702	47.0761	47.2503	47.417500000000004	47.4279	47.1443	47.035199999999996	46.3885	45.1167	42.7682	42.6024	42.8504	43.575199999999995	43.6833	45.0629	46.8893	47.875099999999996	47.9419	48.1435	48.719699999999996	48.9743	48.7692	48.783500000000004	49.3498	49.465399999999995	49.3447	49.8998	49.6956	49.7698	49.9919	50.09479999999999	50.6787	50.656800000000004	50.767700000000005	50.88589999999999	51.208299999999994	51.12989999999999	51.2057	51.221399999999996	51.3311	51.657399999999996	51.497099999999996	51.720600000000005	51.7325	51.9694	52.208200000000005	52.15220000000001	52.2973	52.2315	52.2065	52.18580000000001	52.4617	52.4386	52.4311	52.6778	52.674600000000005	52.8991	52.9145	52.8685	53.0505	53.055	53.263400000000004	53.393	53.523900000000005	53.7188	53.925900000000006	54.018	54.1395	54.2346	54.4098	54.562999999999995	54.75410000000001	54.9168	55.023999999999994	55.090700000000005	55.3206	55.2717	55.4205	55.4186	55.5463	55.6223	55.8161	56.00770000000001	56.00000000000001	56.2156	56.17100000000001
AeA01007_CKDL210012719-1a-AK9141-GC12_HF5TCDSX2_L1_fastp	59.1777	44.4585	46.3133	44.048300000000005	43.716300000000004	43.3823	42.5474	45.2308	45.1934	43.0219	48.296099999999996	47.8316	46.0708	44.8599	44.9975	44.9702	45.401399999999995	45.8692	45.507	46.131	45.6104	45.6716	44.6458	44.6327	43.938700000000004	44.1959	44.3463	44.616	45.3498	44.5981	45.1336	44.8972	44.6764	44.6691	44.1519	44.9594	44.5422	44.9358	44.7189	44.8819	44.7011	44.405699999999996	44.3495	44.3247	44.3531	44.4413	44.525	44.4918	44.839400000000005	44.135999999999996	44.4367	45.2119	44.894400000000005	44.3976	44.6777	44.6529	45.2122	44.9104	45.4922	45.1373	45.2444	44.8857	45.1038	45.3508	45.6349	45.454299999999996	45.603100000000005	45.7864	45.9203	45.5987	45.6496	45.1274	44.2021	42.111900000000006	42.033300000000004	42.3392	43.0078	43.1541	44.4838	45.9918	46.914699999999996	47.0193	47.3274	47.8997	48.1782	48.0953	48.113499999999995	48.7729	48.923100000000005	48.873	49.411300000000004	49.2211	49.4471	49.6205	49.7626	50.41330000000001	50.39019999999999	50.438700000000004	50.6695	50.917	50.9016	51.009899999999995	51.0601	51.085499999999996	51.4865	51.2253	51.4357	51.4795	51.64149999999999	51.8153	51.80010000000001	51.895199999999996	51.894600000000004	51.809099999999994	51.8122	52.02759999999999	52.054199999999994	52.028600000000004	52.294	52.3293	52.617999999999995	52.6729	52.638	52.9251	52.9254	53.173700000000004	53.4227	53.596900000000005	53.898	54.1319	54.30350000000001	54.5406	54.7288	54.9123	55.113299999999995	55.362199999999994	55.5401	55.7423	55.821200000000005	56.0813	56.097699999999996	56.233900000000006	56.315099999999994	56.4849	56.5694	56.8484	57.0516	57.1866	57.4449	57.613499999999995
AeA01008_CKDL210012719-1a-AK9141-7UDI246_HF5TCDSX2_L1_fastp	58.7025	45.566	47.3742	45.8175	45.5555	45.0833	44.4869	46.7893	46.5662	44.738499999999995	49.1811	48.7716	47.0732	46.274300000000004	46.4328	46.579100000000004	46.7626	46.9333	46.6829	47.1203	46.7507	46.631	46.1623	45.9726	45.5207	45.6654	45.7354	45.9713	46.4386	45.8481	46.2462	46.013	45.8872	45.6014	45.7637	46.1165	45.9716	46.2961	46.0117	46.0174	45.884	45.5167	45.648300000000006	45.4807	45.4251	45.453900000000004	45.5306	45.111000000000004	45.6635	45.1784	45.4362	46.1849	46.094	45.5809	45.915299999999995	46.022800000000004	46.061600000000006	46.1353	46.6618	46.4162	46.571600000000004	46.4557	46.4808	46.6787	46.9011	46.7836	46.8662	47.1581	47.0242	46.812799999999996	46.7392	45.947500000000005	44.0801	41.298	41.0132	41.4459	42.2783	42.5551	44.2517	47.2158	48.4883	48.7469	49.0255	49.4776	49.812400000000004	49.8786	49.9782	50.54769999999999	50.8046	50.835300000000004	51.2644	51.41139999999999	51.556999999999995	51.793800000000005	51.98779999999999	52.393	52.5397	52.7019	52.910599999999995	53.0962	53.3011	53.2729	53.458099999999995	53.5514	53.8204	53.757299999999994	53.9832	54.05140000000001	54.1721	54.3383	54.32209999999999	54.405499999999996	54.51970000000001	54.442800000000005	54.509600000000006	54.651	54.6727	54.657500000000006	54.892799999999994	54.899699999999996	55.0848	55.1535	55.1948	55.395	55.494600000000005	55.6372	55.860299999999995	56.02	56.25019999999999	56.47259999999999	56.683499999999995	56.8539	57.038900000000005	57.228500000000004	57.3974	57.581700000000005	57.78959999999999	57.924299999999995	58.0449	58.2444	58.3021	58.356399999999994	58.503499999999995	58.6199	58.7443	58.982800000000005	59.098600000000005	59.2908	59.4835	59.674499999999995
AeA01009_CKDL210012719-1a-AK3905-7UDI214_HF5TCDSX2_L1_fastp	58.925399999999996	44.7902	46.42	44.365	44.0952	43.7208	42.8979	45.4531	45.385999999999996	43.1726	48.371900000000004	47.9615	46.1402	45.2055	45.264900000000004	45.237300000000005	45.561099999999996	45.8299	45.520300000000006	46.071200000000005	45.7096	45.6432	44.9413	44.7656	44.2873	44.4452	44.5195	44.778400000000005	45.2648	44.7862	45.134800000000006	45.0774	44.4442	43.8596	43.6581	43.486000000000004	44.1423	44.710499999999996	44.5854	44.102000000000004	43.9886	43.2648	43.5404	42.9572	42.7423	43.0155	43.1085	42.3511	43.7404	42.9028	43.9195	44.5897	44.5381	43.8746	44.1704	44.3558	44.408500000000004	44.560100000000006	45.1333	44.9788	45.1087	44.8625	44.9495	45.1239	45.298100000000005	45.1868	45.275999999999996	45.4395	45.4157	45.1481	45.158300000000004	44.447900000000004	43.0897	40.7643	40.5953	40.937400000000004	41.638799999999996	41.8468	43.2558	45.4099	46.4727	46.610099999999996	46.9487	47.4117	47.6935	47.7019	47.713	48.2922	48.5337	48.5639	49.0099	49.0291	49.2064	49.402699999999996	49.6084	50.1595	50.275999999999996	50.349500000000006	50.553599999999996	50.7781	50.932900000000004	50.9933	51.0726	51.196200000000005	51.5582	51.3923	51.637100000000004	51.688199999999995	51.9123	52.085800000000006	52.0836	52.2814	52.242	52.21249999999999	52.2834	52.5462	52.5265	52.5265	52.78190000000001	52.7983	53.0597	53.083999999999996	53.132000000000005	53.332	53.4191	53.5836	53.82130000000001	53.9787	54.2173	54.4046	54.603	54.73440000000001	54.8812	55.09460000000001	55.2998	55.4639	55.6371	55.852900000000005	55.9144	56.150299999999994	56.139399999999995	56.2523	56.3447	56.481	56.5661	56.7825	56.907	56.98140000000001	57.221900000000005	57.2683
AeA01010_CKDL210012719-1a-AK3905-AK4971_HF5TCDSX2_L1_fastp	67.5008	56.47109999999999	57.717600000000004	56.3061	56.141200000000005	55.683400000000006	55.157000000000004	56.91310000000001	56.9365	55.4501	59.233000000000004	58.854600000000005	57.4518	56.77569999999999	56.8886	56.8256	57.056	57.2824	57.031600000000005	57.4888	57.1689	57.2308	56.5147	56.301199999999994	55.882799999999996	55.974999999999994	56.079100000000004	56.12239999999999	56.6438	56.120400000000004	56.53	56.2276	55.142500000000005	53.067600000000006	53.5034	55.779	56.2369	56.4747	56.5776	56.4201	56.273399999999995	55.8562	55.8768	55.466300000000004	55.410199999999996	55.4599	55.3562	54.5188	55.696400000000004	54.867900000000006	55.638799999999996	56.4594	56.2542	55.6429	55.93900000000001	56.1131	56.0723	56.358	56.757999999999996	56.6794	56.8943	56.610099999999996	56.795899999999996	56.8704	56.9364	57.06250000000001	57.057	57.282999999999994	57.0228	56.7222	56.5556	55.385799999999996	51.3522	44.823299999999996	43.9358	44.4995	45.9522	47.1603	50.7753	56.116699999999994	58.137499999999996	58.3646	58.634299999999996	59.0685	59.2978	59.4374	59.4723	59.9769	60.3135	60.2026	60.6415	60.582300000000004	60.770199999999996	60.997800000000005	61.0375	61.455400000000004	61.5652	61.55389999999999	61.807599999999994	61.9972	62.0581	61.9263	62.2032	62.220299999999995	62.5421	62.465	62.4007	62.5096	62.6642	62.8227	62.922900000000006	62.95309999999999	62.954299999999996	62.863800000000005	62.9961	63.0587	63.1706	63.0672	63.273500000000006	63.32	63.422999999999995	63.6462	63.6043	63.8263	63.8997	63.98310000000001	64.15520000000001	64.4554	64.6203	64.73010000000001	64.80669999999999	65.0976	65.1771	65.3874	65.5297	65.6511	65.7166	65.9095	66.0236	66.20570000000001	66.271	66.4113	66.4676	66.65339999999999	66.6721	66.79429999999999	67.0335	67.2203	67.3752	67.5853
