"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0212643886386754,0.00902639753908075,1.31063522716309e-05,0.149559144516616,0.661601016240668,-15252.6429315687
"Std.",7.03876998080734e-05,0.000113103332245579,1.28195024713416e-05,0.00702699426994549,0.00265456449486809,1.71428320722577
"Acceptance ratio",0.1585,0.16006,0.144,0.15954,0.2281,0.60358
"0%",0.0209940095390636,0.00860258611066414,3.25897755959844e-09,0.122627018590736,0.650247847803462,-15263.1054941695
"2.5%",0.0211280083615897,0.00881284878465224,3.51268857612355e-07,0.136243866143559,0.656401685217969,-15256.792675555
"5%",0.021149083791742,0.0088402983357044,8.08496451995791e-07,0.138053493819361,0.65724537253544,-15255.8913478215
"7.5%",0.0211624227344664,0.00886374059239698,1.17094789390934e-06,0.139330459934283,0.657758743498944,-15255.3570785911
"10%",0.0211732421347387,0.00887924338604083,1.55908508110292e-06,0.14053324730187,0.658159784605835,-15254.9650310701
"12.5%",0.0211834682477573,0.00889556455436023,1.97178671236628e-06,0.141366810611644,0.658475954986784,-15254.654673425
"15%",0.0211903601012991,0.00890783180756486,2.38220333786996e-06,0.142191845418685,0.658795387079996,-15254.3587756763
"17.5%",0.021197577268517,0.00891996304821709,2.79178543213381e-06,0.142880379201641,0.659055753541705,-15254.1361338268
"20%",0.0212031794136127,0.00892956934163487,3.18552099157632e-06,0.143507907828617,0.659297256096454,-15253.9369191296
"22.5%",0.0212104345896792,0.00893948929883519,3.53255472489395e-06,0.144087870716305,0.659558709217744,-15253.7421792885
"25%",0.0212173923068514,0.00894987328034568,3.95925799926236e-06,0.144638416580863,0.659797433749027,-15253.5751189926
"27.5%",0.0212234492258196,0.00895752531389914,4.38969955732377e-06,0.145205532494854,0.66004549012957,-15253.4154207151
"30%",0.0212292187229743,0.00896577874130883,4.77979598745094e-06,0.145761283357131,0.660243635040941,-15253.26476737
"32.5%",0.0212336551504828,0.00897533975029097,5.30585106524268e-06,0.146320626290763,0.660443206679122,-15253.123145605
"35%",0.0212378278817615,0.00898287654991924,5.8491542622574e-06,0.146817860122178,0.66061340281627,-15252.9992303985
"37.5%",0.0212423366358551,0.00899067038370294,6.312623988939e-06,0.14726817829206,0.660786924286595,-15252.8760379396
"40%",0.0212464202300735,0.00899957688591287,6.79572205228494e-06,0.147816819807956,0.66098712758455,-15252.7548216297
"42.5%",0.021250504950464,0.00900595745922355,7.29454400741019e-06,0.14822465057391,0.661137399541028,-15252.6334679929
"45%",0.0212546907582233,0.00901259167628462,7.94213698220095e-06,0.148664229298476,0.661308567086644,-15252.5334970108
"47.5%",0.0212593044448193,0.00901973899075043,8.54795870328413e-06,0.14917242770872,0.66146767147764,-15252.4299523789
"50%",0.021263983412159,0.00902599670301859,9.1916433392569e-06,0.149595397655337,0.661620889538262,-15252.3227771464
"52.5%",0.0212679447619386,0.00903262487000553,9.92800976253901e-06,0.15001098893069,0.661775585849409,-15252.224049043
"55%",0.0212719014110263,0.00903885814474249,1.04964791775796e-05,0.150411079645619,0.661938527576186,-15252.1282975638
"57.5%",0.0212766533107836,0.0090462495038133,1.12960882735603e-05,0.150860371213205,0.662106386847705,-15252.0295309227
"60%",0.021281287257411,0.00905393260994614,1.21455274202804e-05,0.151273266069169,0.662268221289472,-15251.9351945662
"62.5%",0.0212865727465265,0.00906109732743469,1.28470199897551e-05,0.151815616156043,0.6624699533063,-15251.8346611068
"65%",0.0212911646814203,0.00906906696287106,1.37566549572961e-05,0.152253089146685,0.66263881362411,-15251.7384189003
"67.5%",0.021295298365844,0.0090758907211933,1.46496677955595e-05,0.152747964004338,0.662841388431001,-15251.6509114716
"70%",0.0212999319388381,0.00908471018237166,1.57139282962111e-05,0.153223172809323,0.663032601778587,-15251.5631852426
"72.5%",0.0213048563060715,0.00909229230911818,1.67721385694417e-05,0.153677198986689,0.663203113448479,-15251.4736073616
"75%",0.0213110967750926,0.00910075362622188,1.81624155387349e-05,0.154150825229812,0.663395328693065,-15251.3844442354
"77.5%",0.0213178401965982,0.00911124530127631,1.95455552632515e-05,0.154736998014085,0.663598230724592,-15251.2925222302
"80%",0.0213239797079271,0.00912170595215886,2.12371568644103e-05,0.155401237542553,0.663817027222169,-15251.1933019237
"82.5%",0.021330124326807,0.00913134691614071,2.29036452158089e-05,0.156153868871314,0.664073357680536,-15251.0930331399
"85%",0.0213380291105162,0.00914549394840027,2.49095910379798e-05,0.15700761684566,0.664338230884379,-15250.9868797838
"87.5%",0.0213466864395215,0.00915888463799601,2.71473591634805e-05,0.15784871131047,0.664638134668679,-15250.8641647815
"90%",0.0213561529009457,0.00917283742759109,3.02172395407612e-05,0.158696316500252,0.665008213886391,-15250.7436076981
"92.5%",0.0213672031926269,0.00918934473076213,3.33588827026967e-05,0.159825740023077,0.665401881392719,-15250.6170911711
"95%",0.0213814044580948,0.00921605697199966,3.88087271925323e-05,0.161297580874558,0.665939945718248,-15250.4655603422
"97.5%",0.0214036807049364,0.00925427998491286,4.67919858082607e-05,0.163285599838397,0.666769895359042,-15250.2654988768
"100%",0.0215220232056577,0.0095230440861107,0.000117298364565916,0.177641327538191,0.671221291267424,-15249.6750328248
