"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0483342468650711,0.0356277625968936,0.000440320547579231,0.213914806868542,0.603375819973467,-3865.86785802899
"Std.",0.000328772513530628,0.000767839814777428,0.000429226886943757,0.0221501315788182,0.00508760179983347,1.70561530526612
"Acceptance ratio",0.19424,0.21886,0.15256,0.20346,0.2269,0.66822
"0%",0.0471666636073929,0.0331772790225415,3.69065317365296e-08,0.143791671091347,0.584620410254775,-3878.70735830379
"2.5%",0.0476943528419793,0.034235621459447,8.63347657529362e-06,0.170284561214657,0.59305123971197,-3869.98722308279
"5%",0.0478082621356333,0.0344314413724021,2.21776950829718e-05,0.178528270993695,0.59498722495335,-3869.15591233291
"7.5%",0.0478710695525159,0.0345797808282743,3.29754799158579e-05,0.182623813120295,0.596028662166218,-3868.59202088714
"10%",0.0479203384342695,0.0346934307151417,4.35613372662967e-05,0.185739975441827,0.596881931205413,-3868.17944090801
"12.5%",0.0479588086697156,0.0347809821759436,5.40973550435522e-05,0.188561416949107,0.597492728866738,-3867.85327389972
"15%",0.0480003082061961,0.0348484481714037,6.7409466790231e-05,0.190933185850089,0.598136357319879,-3867.59033044192
"17.5%",0.0480313890647973,0.0349194761025209,7.95843076169075e-05,0.193326855039121,0.598729220369134,-3867.34467273913
"20%",0.0480593666172878,0.0349852251609283,9.47285120139416e-05,0.195108461673708,0.599196480768537,-3867.13649470575
"22.5%",0.0480885460334612,0.0350471380277155,0.000112714853821974,0.196828742941856,0.599627483547934,-3866.9509811714
"25%",0.0481161118646348,0.0351052287374929,0.000124401695684671,0.198645705457155,0.600025160952465,-3866.77578483723
"27.5%",0.0481441692694722,0.0351555548234237,0.000143602567486536,0.200708869852606,0.600419917301523,-3866.62278782332
"30%",0.0481654023795508,0.0352053974343371,0.00015855479981612,0.20222099203238,0.600821011787728,-3866.48524843071
"32.5%",0.0481860324932547,0.0352501325287438,0.000177783424415143,0.203663947303818,0.601181255396613,-3866.34357432886
"35%",0.0482085407792858,0.0352954197044345,0.000195756675899294,0.205080956884404,0.601505476600718,-3866.2118586564
"37.5%",0.0482300973882087,0.0353384926456068,0.000211957921076951,0.206631312735243,0.601845539634243,-3866.0848536248
"40%",0.0482495358131186,0.0353816870050101,0.000229020082086205,0.20805508850632,0.602176435399418,-3865.96825960405
"42.5%",0.0482678247078935,0.035428781482484,0.000246254660606684,0.209374629249922,0.602510351884173,-3865.85156670353
"45%",0.0482851598585442,0.0354796653431424,0.000268816545081913,0.210986922475529,0.602823003858282,-3865.74535582405
"47.5%",0.0483081277866032,0.0355297691988662,0.000290629284335503,0.212354958446713,0.603132410065456,-3865.6371063198
"50%",0.0483295676956836,0.0355783252328333,0.000317127855718942,0.213629329671133,0.603434335170615,-3865.53443457827
"52.5%",0.0483504470148261,0.0356231170731852,0.000341658621157091,0.215348119310055,0.603724039761077,-3865.43423156992
"55%",0.0483703778160108,0.03567676913035,0.000364399425907872,0.216686597973996,0.603989066729844,-3865.33986866372
"57.5%",0.0483917974695027,0.0357259505258157,0.000387360302739175,0.218021355704827,0.604306033524167,-3865.23911214135
"60%",0.0484135724267189,0.0357736210653305,0.000412856752375945,0.219220438298262,0.604639165084626,-3865.14508178767
"62.5%",0.0484386373347785,0.0358226252309094,0.00043859254426413,0.22080300547415,0.604988543538457,-3865.05943637446
"65%",0.0484619204458272,0.0358795459642282,0.000468870797867841,0.222103177139875,0.605272766534698,-3864.96669583997
"67.5%",0.0484873540976145,0.0359354898196706,0.000501955684141372,0.223529753413013,0.605609318690341,-3864.88066458636
"70%",0.0485050107989973,0.0359903003900912,0.000533812801524135,0.225091043210229,0.605986177064981,-3864.79237030612
"72.5%",0.0485282645614415,0.0360437432303612,0.000573576723197292,0.226947202796363,0.606375660522074,-3864.70588859469
"75%",0.0485490995556771,0.0361141790876594,0.000620239116269933,0.228826391297081,0.606770864927182,-3864.61585166989
"77.5%",0.0485741518481508,0.0361855177027988,0.000665761736755314,0.230659281419585,0.607204273811046,-3864.52268323275
"80%",0.0485976862224003,0.0362608415175701,0.000718155223611641,0.232413743798076,0.607573517210547,-3864.42327201989
"82.5%",0.0486263142098804,0.0363387387073892,0.000773972040346871,0.234537955660431,0.607992464048299,-3864.32338629234
"85%",0.0486620106639946,0.0364328420178218,0.000835392294217161,0.236737637666356,0.608494638846628,-3864.22187163377
"87.5%",0.0487056900947315,0.0365183365727554,0.000914351123853426,0.239317232009114,0.609010921906724,-3864.1160126556
"90%",0.0487535549337089,0.0366230159640726,0.00101552107403069,0.242287579051925,0.609719407159985,-3864.00179741772
"92.5%",0.0488094899643525,0.036764336188731,0.00113347266780298,0.245528935443808,0.610565459467428,-3863.86811539934
"95%",0.0488843356131253,0.0369638337762128,0.00130925554958109,0.250506546923861,0.611634641008167,-3863.72515305515
"97.5%",0.0490011476198309,0.0372752286905348,0.00158287229641074,0.258226411142573,0.613582091831132,-3863.53315833593
"100%",0.0496011339684693,0.0392500314495117,0.00417666756644756,0.311852159028464,0.624220827652212,-3863.01285662035
