"","Position","C.T","G.A"
"1",1,0.592379838079951,0.446976266337107
"2",2,0.615624212403191,0.490426610696714
"3",3,0.623417539195192,0.53303857957896
"4",4,0.626207368889739,0.565599570826883
"5",5,0.633175105744886,0.582055916571366
"6",6,0.643446508702321,0.587719568374262
"7",7,0.651598894451725,0.591308216351891
"8",8,0.653527781548331,0.599592134523836
"9",9,0.651210150542742,0.610521958557244
"10",10,0.647047052183877,0.62127908266671
"11",11,0.644738961402695,0.628208455943666
"12",12,0.644704610286349,0.631606290014329
"13",-12,0.63748253533011,0.638822245790365
"14",-11,0.634698233032019,0.638272312628049
"15",-10,0.627941855846535,0.640440656402743
"16",-9,0.617741590755154,0.644169965484243
"17",-8,0.607639030723962,0.64588526420188
"18",-7,0.600101888826442,0.643408310633645
"19",-6,0.596787196521311,0.634961665200444
"20",-5,0.590881095845234,0.624799509309182
"21",-4,0.574932159803815,0.61746724206768
"22",-3,0.544428446180052,0.613425432609211
"23",-2,0.50510811615771,0.603858991664943
"24",-1,0.465594112268182,0.578269927308112
