#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5784389	5371918	92.86	6199	0.11	2072	0.04	20638	0.36	383562	6.63
Ecoli	5784389	5784386	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	5784389	5784389	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5784389	5784388	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	5784389	5750168	99.40	14	0.00	0	0.00	912	0.02	33295	0.58
Bacteria_24k	5784389	5536598	95.71	975	0.02	1497	0.03	23874	0.41	221445	3.83
Protists_1k	5784389	5217153	90.19	24285	0.42	61868	1.07	9903	0.17	471180	8.15
Viruses	5784389	5517099	95.38	1084	0.02	145	0.00	33482	0.58	232579	4.02
Fungi_RefSeq_release	5784389	5408592	93.51	5360	0.09	3625	0.06	37197	0.64	329615	5.70
Coral	5784389	5626438	97.27	501	0.01	202	0.00	18939	0.33	138309	2.39
Bird	5784389	5545989	95.89	8862	0.15	752	0.01	83931	1.45	144855	2.50
Plant	5784389	5565264	96.22	775	0.01	188	0.00	23536	0.41	194626	3.36

%Hit_no_genomes: 89.48
