#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3192924	2952415	92.46	2887	0.09	858	0.03	8298	0.26	228466	7.16
Ecoli	3192924	3192825	100.00	0	0.00	0	0.00	15	0.00	84	0.00
PhiX	3192924	3192924	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3192924	3192919	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	3192924	3140236	98.35	4	0.00	1	0.00	419	0.01	52264	1.64
Bacteria_24k	3192924	2934364	91.90	29628	0.93	36231	1.13	11735	0.37	180966	5.67
Protists_1k	3192924	2880696	90.23	9069	0.28	18632	0.58	16562	0.52	267965	8.39
Viruses	3192924	3019374	94.56	240	0.01	37	0.00	11193	0.35	162080	5.08
Fungi_RefSeq_release	3192924	2960089	92.71	1384	0.04	725	0.02	11472	0.36	219254	6.87
Coral	3192924	3038254	95.16	129	0.00	35	0.00	9569	0.30	144937	4.54
Bird	3192924	3014019	94.41	1354	0.04	118	0.00	22820	0.71	154613	4.84
Plant	3192924	3015964	94.46	302	0.01	106	0.00	9499	0.30	167053	5.23

%Hit_no_genomes: 87.81
