#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7212857	6904810	95.73	8391	0.12	2101	0.03	27526	0.38	270029	3.74
Ecoli	7212857	7212840	100.00	0	0.00	0	0.00	4	0.00	13	0.00
PhiX	7212857	7212857	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7212857	7212857	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	7212857	7165858	99.34	11	0.00	0	0.00	1125	0.02	45863	0.64
Bacteria_24k	7212857	7046280	97.70	2392	0.03	2912	0.04	14598	0.20	146675	2.03
Protists_1k	7212857	6778289	93.97	29327	0.41	62595	0.87	10079	0.14	332567	4.61
Viruses	7212857	7046638	97.69	381	0.01	93	0.00	14242	0.20	151503	2.10
Fungi_RefSeq_release	7212857	6910635	95.82	5206	0.07	2148	0.03	31320	0.43	263548	3.65
Coral	7212857	7058328	97.85	564	0.01	167	0.00	18507	0.26	135291	1.88
Bird	7212857	7010869	97.20	5194	0.07	623	0.01	32237	0.45	163934	2.27
Plant	7212857	7020646	97.35	1028	0.01	285	0.00	20371	0.28	170527	2.36

%Hit_no_genomes: 93.40
