#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1997133	1898140	95.04	2126	0.11	615	0.03	6537	0.33	89715	4.49
Ecoli	1997133	1997131	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	1997133	1997133	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1997133	1997133	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1997133	1984055	99.35	3	0.00	1	0.00	283	0.01	12791	0.64
Bacteria_24k	1997133	1938721	97.08	2134	0.11	2476	0.12	4827	0.24	48975	2.45
Protists_1k	1997133	1867605	93.51	6903	0.35	14711	0.74	3035	0.15	104879	5.25
Viruses	1997133	1938356	97.05	182	0.01	30	0.00	5740	0.29	52825	2.65
Fungi_RefSeq_release	1997133	1908000	95.55	1274	0.06	457	0.02	8063	0.40	79339	3.97
Coral	1997133	1951316	97.71	157	0.01	45	0.00	4988	0.25	40627	2.03
Bird	1997133	1932792	96.78	1678	0.08	242	0.01	15090	0.76	47331	2.37
Plant	1997133	1938100	97.05	259	0.01	64	0.00	5784	0.29	52926	2.65

%Hit_no_genomes: 92.80
