#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5323468	5047360	94.81	5811	0.11	1570	0.03	20165	0.38	248562	4.67
Ecoli	5323468	5323462	100.00	0	0.00	0	0.00	0	0.00	6	0.00
PhiX	5323468	5323468	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5323468	5323467	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	5323468	5280601	99.19	18	0.00	0	0.00	931	0.02	41918	0.79
Bacteria_24k	5323468	5170407	97.12	1174	0.02	1400	0.03	13069	0.25	137418	2.58
Protists_1k	5323468	4950056	92.98	20825	0.39	46772	0.88	7271	0.14	298544	5.61
Viruses	5323468	5164716	97.02	323	0.01	79	0.00	14084	0.26	144266	2.71
Fungi_RefSeq_release	5323468	5058227	95.02	3865	0.07	1679	0.03	24638	0.46	235059	4.42
Coral	5323468	5183550	97.37	401	0.01	128	0.00	15189	0.29	124200	2.33
Bird	5323468	5138034	96.51	3890	0.07	507	0.01	32212	0.61	148825	2.80
Plant	5323468	5147676	96.71	747	0.01	198	0.00	17150	0.32	157697	2.96

%Hit_no_genomes: 92.44
