filename	numreads	meanreadlength	meandepth_wcvg	numpos	numpos_wcvg	meandepth	pctpos_wcvg
coverage_ProbeContigs_1B/Gmi-ABas_030-GmA02030-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	10276	121.851	3.38464	15790061	359922	0.0771502	2.27942
coverage_ProbeContigs_1B/Gmi-ABas_008-GmA02008-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	10342	120.278	3.09218	15790061	392162	0.0767974	2.4836
coverage_ProbeContigs_1B/Gmi-ABas_004-GmA02004-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	13312	119.27	3.48213	15790061	444595	0.0980451	2.81566
coverage_ProbeContigs_1B/Gmi-ABas_001-GmA02001-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	31609	121.362	4.7167	15790061	792333	0.23668	5.01792
coverage_ProbeContigs_1B/Gmi-ABas_033-GmA02033-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	38099	125.9	5.96129	15790061	782209	0.295311	4.95381
coverage_ProbeContigs_1B/Gmi-ABas_034-GmA02034-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	35942	127.909	9.79566	15790061	456980	0.283496	2.8941
coverage_ProbeContigs_1B/Gmi-ABas_017-GmA02017-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	48143	114.323	5.47251	15790061	978944	0.339282	6.19975
coverage_ProbeContigs_1B/Gmi-ABas_028-GmA02028-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	55959	134.235	8.79727	15790061	831954	0.463515	5.26885
coverage_ProbeContigs_1B/Gmi-ABas_005-GmA02005-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	62232	119.801	6.30444	15790061	1151404	0.459717	7.29195
coverage_ProbeContigs_1B/Gmi-ABas_006-GmA02006-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	61637	120.027	6.29547	15790061	1143191	0.455788	7.23994
coverage_ProbeContigs_1B/Gmi-ABas_023-GmA02023-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	70868	118.294	6.54087	15790061	1248701	0.517262	7.90815
coverage_ProbeContigs_1B/Gmi-ABas_045-GmA02045-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	21149	118.519	4.35196	15790061	558322	0.153881	3.53591
coverage_ProbeContigs_1B/Gmi-ABas_020-GmA02020-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	74797	121.477	6.55439	15790061	1349790	0.560292	8.54835
coverage_ProbeContigs_1B/Gmi-ABas_035-GmA02035-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	80408	126.782	11.4957	15790061	855579	0.622891	5.41847
coverage_ProbeContigs_1B/Gmi-ABas_047-GmA02047-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	26654	123.289	5.36682	15790061	596825	0.202852	3.77975
coverage_ProbeContigs_1B/Gmi-ABas_058-GmA02058-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	8120	122.296	3.39848	15790061	284215	0.0611713	1.79996
coverage_ProbeContigs_1B/Gmi-ABas_007-GmA02007-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	96771	122.198	8.6432	15790061	1331989	0.729107	8.43562
coverage_ProbeContigs_1B/Gmi-ABas_021-GmA02021-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	109330	119.355	8.57838	15790061	1480266	0.804195	9.37467
coverage_ProbeContigs_1B/Gmi-ABas_002-GmA02002-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	105246	117.833	8.07467	15790061	1493346	0.763662	9.45751
coverage_ProbeContigs_1B/Gmi-ABas_055-GmA02055-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	22755	123.584	5.82893	15790061	469636	0.173367	2.97425
coverage_ProbeContigs_1B/Gmi-ABas_049-GmA02049-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	41261	121.886	6.66607	15790061	731540	0.308833	4.63291
coverage_ProbeContigs_1B/Gmi-ABas_059-GmA02059-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	18303	123.191	4.5786	15790061	479498	0.139039	3.03671
coverage_ProbeContigs_1B/Gmi-AHam_001-GmA01001-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	26902	122.99	4.28819	15790061	750342	0.203774	4.75199
coverage_ProbeContigs_1B/Gmi-AHam_015-GmA01015-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	8047	120.249	2.81941	15790061	333949	0.0596286	2.11493
coverage_ProbeContigs_1B/Gmi-ABas_060-GmA02060-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	55283	129.714	11.4328	15790061	610387	0.441951	3.86564
coverage_ProbeContigs_1B/Gmi-AHam_002-GmA01002-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	47236	125.174	5.68573	15790061	1011910	0.364371	6.40852
coverage_ProbeContigs_1B/Gmi-AHam_003-GmA01003-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	57161	127.049	6.30783	15790061	1119186	0.447094	7.08791
coverage_ProbeContigs_1B/Gmi-ABas_022-GmA02022-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	230502	116.738	12.3243	15790061	2121614	1.65594	13.4364
coverage_ProbeContigs_1B/Gmi-ABas_019-GmA02019-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	259032	121.106	15.1428	15790061	2015284	1.93267	12.763
coverage_ProbeContigs_1B/Gmi-AHam_013-GmA01013-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	101927	123.287	8.33602	15790061	1464413	0.773105	9.27427
coverage_ProbeContigs_1B/Gmi-AHam_010-GmA01010-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	152412	128.659	12.2109	15790061	1560994	1.20716	9.88593
coverage_ProbeContigs_1B/Gmi-ABas_044-GmA02044-L1-fp1-clmp-fp2-fqscrn-repr.rad.RAW-10-10-contigs_forProbes-RG.bam	321428	125.213	18.5959	15790061	1712468	2.01677	10.8452
