Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Hmi-ABas_001-Ex1-01A	0.13198400000000002	0.0285735	0.0343462	4.37322e-05	1.63996e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000278793	0.0015306299999999998	0.00587652	0.00112064	0.000207728	0.0	0.0	0.0	0.0	0.0	0.000486521	0.0	0.00022412799999999998	0.0	0.0	0.0	2.7332600000000003e-05	0.0	7.653139999999999e-05	0.0	0.0	0.000404523	6.0131800000000006e-05	0.0009675749999999999	0.0	0.0	1.63996e-05	0.00012573	0.0008145120000000001	0.0	0.0	2.7332600000000003e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4665300000000005e-06	0.0	0.0	0.0	0.0	0.0	5.4665300000000005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026075300000000003	0.0	0.0	0.0	0.0	0.0	3.27992e-05	0.0	0.0	0.00106051	0.0	5.4665300000000005e-06	0.0	0.00316512	0.0	0.0	0.000420922	0.0	0.0	0.0	0.0	0.00118077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00715022	0.0	0.0	0.00039359	0.0	0.0	0.0	0.0	0.023107	0.012113800000000001	0.0	0.006390369999999999	0.0	0.0	0.000481054	2.18661e-05	0.000885577	0.0	0.000344391	0.019684999999999998	0.0	0.007019020000000001	0.000595851	0.0	0.000284259	1.09331e-05	0.00030612500000000003	0.0	0.0161099	0.0	0.0	9.29309e-05	0.000131197	0.0	0.00552666	0.0	0.00576718	0.0	0.00293006	0.0	5.46653e-05	0.0	0.0	0.0110314	0.00207181	0.0	0.00599678	0.0	0.0	0.0	0.0033619099999999996	0.0	0.0
Hmi-ABas_002-Ex1-02A	0.132857	0.029283899999999998	0.034133500000000004	4.42308e-05	3.15934e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000360165	0.00141854	0.0055320099999999995	0.000947802	0.00019271999999999998	0.0	0.0	0.0	0.0	0.0	0.00042967	0.0	0.000186401	0.0	0.0	0.0	3.15934e-06	0.0	5.3708799999999996e-05	0.0	0.0	0.00043283	5.05495e-05	0.0010394199999999999	0.0	0.0	4.42308e-05	9.47802e-05	0.00076772	0.0	0.0	7.58242e-05	0.0	3.15934e-06	0.0	3.15934e-06	0.0	0.0	0.0	6.31868e-06	0.0	0.0	0.0	0.0	0.0	1.2637399999999999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254643	0.0	0.0	0.0	0.0	0.0	3.15934e-05	0.0	0.0	0.00122582	0.0	0.0	0.0	0.0031435400000000002	0.0	0.0	0.000423352	0.0	0.0	0.0	0.0	0.00122266	6.31868e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00712431	0.0	0.0	0.000372802	0.0	6.31868e-06	0.0	0.0	0.0232843	0.0119802	0.0	0.006154400000000001	3.15934e-06	0.0	0.00044230800000000003	4.10714e-05	0.000739286	0.0	0.000322253	0.0195942	0.0	0.007045330000000001	0.0005592030000000001	0.0	0.000344368	2.52747e-05	0.000315934	0.0	0.015755599999999998	0.0	0.0	0.000139011	0.000135852	0.0	0.005525690000000001	0.0	0.00572473	3.15934e-06	0.00300137	0.0	6.63462e-05	0.0	0.0	0.0111051	0.00210412	0.0	0.00591429	0.0	0.0	0.0	0.00337418	0.0	0.0
Hmi-ABas_003-Ex1-03A	0.132358	0.0286922	0.034264	6.828220000000001e-05	2.7312899999999997e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000286785	0.00152952	0.00570839	0.000887668	0.00019119	0.0	0.0	0.0	0.0	0.0	0.00042334900000000006	0.0	0.000204847	0.0	0.0	0.0	1.36564e-05	0.0	6.828220000000001e-05	0.0	0.0	0.000477975	4.09693e-05	0.00103789	0.0	0.0	8.19386e-05	6.828220000000001e-05	0.0006555090000000001	0.0	0.0	4.09693e-05	0.0	1.36564e-05	0.0	0.0	0.0	0.0	0.0	2.7312899999999997e-05	0.0	0.0	0.0	0.0	0.0	1.36564e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00240353	0.0	0.0	0.0	0.0	0.0	2.7312899999999997e-05	0.0	0.0	0.0011198299999999998	0.0	0.0	0.0	0.0032911999999999998	0.0	0.0	0.00039603699999999996	0.0	0.0	0.0	0.0	0.00114714	1.36564e-05	0.0	1.36564e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076476	0.0	0.0	0.000273129	0.0	0.0	0.0	0.0	0.0230521	0.0123318	0.0	0.0063639000000000005	0.0	0.0	0.00040969300000000004	2.7312899999999997e-05	0.00076476	0.0	0.000177534	0.0194194	0.0	0.0073608200000000006	0.000518944	0.0	0.000341411	5.462570000000001e-05	0.000259472	0.0	0.015759500000000003	0.0	0.0	0.000150221	0.00012290800000000002	0.0	0.00572205	0.0	0.00588592	0.0	0.0031000100000000003	0.0	0.000109251	0.0	0.0	0.0110344	0.0019665299999999998	0.0	0.005995169999999999	0.0	0.0	0.0	0.0033868	0.0	0.0
Hmi-ABas_004-Ex1-04A	0.13239700000000001	0.029147899999999997	0.0340534	2.24141e-05	9.606030000000001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000336211	0.00138007	0.005792439999999999	0.0009574009999999999	0.000243353	0.0	0.0	0.0	0.0	0.0	0.000531534	0.0	0.00022093900000000002	0.0	0.0	0.0	6.40402e-06	0.0	8.645429999999999e-05	0.0	0.0	0.000374635	5.12322e-05	0.00110149	0.0	0.0	3.84241e-05	8.645429999999999e-05	0.0008197149999999999	0.0	0.0	8.00503e-05	0.0	3.20201e-06	0.0	0.0	0.0	0.0	0.0	6.40402e-06	0.0	0.0	0.0	0.0	0.0	1.60101e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00263205	0.0	0.0	0.0	0.0	0.0	3.84241e-05	0.0	0.0	0.00115913	0.0	3.20201e-06	0.0	0.0032212200000000003	0.0	0.0	0.000496312	0.0	0.0	0.0	3.20201e-06	0.00123277	6.40402e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007290980000000001	0.0	0.0	0.000381039	0.0	0.0	0.0	0.0	0.0235508	0.012042800000000001	0.0	0.00631757	0.0	0.0	0.000352221	1.9212100000000002e-05	0.0008197149999999999	0.0	0.000361827	0.0199101	0.0	0.0073646200000000005	0.000528332	0.0	0.000352221	9.606030000000001e-06	0.000313797	0.0	0.0160101	0.0	0.0	0.00010886799999999999	0.000140888	0.0	0.00567716	0.0	0.0060069699999999995	0.0	0.0029810699999999997	0.0	5.76362e-05	0.0	0.0	0.0113255	0.0021645600000000003	0.0	0.00612224	0.0	0.0	0.0	0.0033813199999999997	0.0	0.0
Hmi-ABas_005-Ex1-05A	0.131019	0.029657700000000002	0.0342725	3.4716300000000005e-05	2.23176e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000367001	0.00160439	0.00575795	0.00105389	0.00021077799999999998	0.0	0.0	0.0	0.0	0.0	0.000466191	0.0	0.000213258	0.0	0.0	2.47974e-06	4.95948e-06	0.0	5.7034e-05	0.0	0.0	0.00040667700000000004	4.46353e-05	0.0010365300000000001	0.0	0.0	1.9837900000000002e-05	9.918950000000001e-05	0.000783597	0.0	0.0	6.943269999999999e-05	0.0	2.47974e-06	0.0	0.0	0.0	0.0	0.0	9.918950000000001e-06	0.0	0.0	0.0	0.0	0.0	2.23176e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00267068	0.0	0.0	0.0	0.0	0.0	4.46353e-05	0.0	0.0	0.00121259	0.0	2.47974e-06	0.0	0.00322118	0.0	0.0	0.00046867100000000004	0.0	0.0	0.0	2.47974e-06	0.00128698	9.918950000000001e-06	0.0	4.95948e-06	0.0	0.0	0.0	0.0	2.47974e-06	0.0	0.0	0.0072458	0.0	0.0	0.000352123	0.0	0.0	0.0	0.0	0.0229673	0.012026700000000001	0.0	0.00634565	0.0	0.0	0.0003794	2.23176e-05	0.000738962	0.0	0.000300048	0.0194213	0.0	0.0072656299999999995	0.000488508	0.0	0.000319886	1.23987e-05	0.000314927	0.0	0.0157017	0.0	0.0	0.000114068	0.00011902700000000001	0.0	0.00570092	0.0	0.005906740000000001	0.0	0.00296081	0.0	5.2074500000000004e-05	0.0	0.0	0.0112035	0.0021177	0.0	0.006058	0.0	0.0	0.0	0.0034418800000000005	0.0	0.0
Hmi-ABas_006-Ex1-06A	0.13173900000000002	0.029042	0.0347101	3.95218e-05	1.64674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352403	0.0014886600000000002	0.00575372	0.0010638	0.000204196	0.0	0.0	3.2934899999999996e-06	0.0	0.0	0.0005862409999999999	0.0	0.000197609	0.0	0.0	0.0	1.64674e-05	0.0	5.92828e-05	0.0	0.0	0.000464382	4.28153e-05	0.000961698	0.0	0.0	3.62284e-05	9.22176e-05	0.000810198	0.0	0.0	6.91632e-05	0.0	3.2934899999999996e-06	0.0	0.0	0.0	0.0	0.0	3.2934899999999996e-06	0.0	0.0	0.0	0.0	0.0	1.3173900000000001e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261832	0.0	0.0	0.0	0.0	0.0	3.29349e-05	0.0	0.0	0.00119224	0.0	1.3173900000000001e-05	0.0	0.0032078600000000003	0.0	0.0	0.00045450100000000006	0.0	0.0	0.0	0.0	0.00116589	1.3173900000000001e-05	0.0	3.2934899999999996e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743999	0.0	0.0	0.00044132700000000004	0.0	0.0	0.0	0.0	0.0231137	0.012367	0.0	0.00650464	3.2934899999999996e-06	0.0	0.00041168600000000003	1.97609e-05	0.000879361	0.0	0.000345816	0.0197873	0.0	0.007456449999999999	0.000530251	0.0	0.000247011	2.63479e-05	0.00030629400000000003	0.0	0.0160195	0.0	0.0	0.000128446	0.000144913	0.0	0.00574384	0.0	0.00601391	3.2934899999999996e-06	0.00300037	0.0	6.25762e-05	0.0	0.0	0.0114547	0.00213089	0.0	0.00617529	0.0	0.0	0.0	0.0035437900000000002	0.0	0.0
Hmi-ABas_007-Ex1-07A	0.131028	0.029390299999999998	0.034357700000000005	5.22524e-05	1.3934e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000404086	0.0014630700000000001	0.00600555	0.0009161589999999999	0.00015675700000000002	0.0	0.0	0.0	0.0	0.0	0.000501623	0.0	0.000212493	0.0	0.0	0.0	6.96699e-06	0.0	9.753790000000001e-05	0.0	0.0	0.00042498700000000004	4.52854e-05	0.0009684120000000001	0.0	0.0	5.5735899999999996e-05	0.000132373	0.000693216	0.0	0.0	6.96699e-05	0.0	1.04505e-05	0.0	0.0	0.0	0.0	0.0	1.04505e-05	0.0	0.0	0.0	0.0	0.0	2.4384500000000003e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00251508	0.0	0.0	0.0	0.0	0.0	3.13515e-05	0.0	0.0	0.00107988	0.0	0.0	0.0	0.00304109	0.0	0.0	0.00041105300000000004	0.0	0.0	0.0	3.4835e-06	0.0011391	1.04505e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00718297	0.0	0.0	0.000323965	0.0	6.96699e-06	0.0	0.0	0.022451099999999998	0.011809100000000001	0.0	0.00620759	6.96699e-06	0.0	0.000421503	2.0901e-05	0.000752435	0.0	0.00027519599999999996	0.0188492	0.0	0.006946089999999999	0.00048420600000000005	0.0	0.000334416	2.7868e-05	0.00027868	0.0	0.0153727	0.0	0.0	0.000101021	0.000128889	0.0	0.00546212	0.0	0.00567113	0.0	0.0028773699999999998	0.0	5.92194e-05	0.0	0.0	0.010966	0.00198559	0.0	0.0058696899999999995	0.0	0.0	0.0	0.00337551	0.0	0.0
Hmi-ABas_008-Ex1-08A	0.131901	0.0293127	0.034441099999999995	4.72351e-05	1.01218e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000347515	0.00142717	0.00573906	0.0010121800000000001	0.000219306	0.0	0.0	0.0	0.0	0.0	0.00042849	0.0	0.00023617499999999998	0.0	0.0	3.37394e-06	2.3617500000000002e-05	0.0	5.73569e-05	0.0	0.0	0.000371133	4.38612e-05	0.00100881	0.0	0.0	5.0608999999999996e-05	0.000114714	0.000752388	0.0	0.0	4.72351e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37394e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00264854	0.0	0.0	0.0	0.0	0.0	3.37394e-06	0.0	0.0	0.00118425	0.0	0.0	0.0	0.0032187300000000004	0.0	0.0	0.000431864	0.0	0.0	0.0	0.0	0.00112689	6.74787e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007297820000000001	0.0	0.0	0.00027666299999999996	0.0	1.01218e-05	0.0	0.0	0.0230339	0.0119269	0.0	0.00632275	0.0	0.0	0.000455481	4.38612e-05	0.000796249	0.0	0.00026991499999999997	0.0194069	0.0	0.0071493699999999995	0.0005465779999999999	0.0	0.000340767	3.37394e-06	0.00027328899999999996	0.0	0.0156517	0.0	0.0	0.00012821	8.09744e-05	0.0	0.00559736	0.0	0.00594487	0.0	0.00295557	0.0	7.085259999999999e-05	0.0	0.0	0.0110969	0.0021357	0.0	0.00608658	0.0	0.0	0.0	0.0034211700000000003	0.0	0.0
Hmi-ABas_009-Ex1-09A	0.131796	0.029562799999999997	0.0338776	4.2208e-05	1.34298e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000285863	0.00154635	0.00570191	0.000995724	0.000195691	0.0	0.0	0.0	0.0	0.0	0.000529518	0.0	0.000220632	0.0	0.0	0.0	1.9185399999999998e-05	0.0	6.13934e-05	0.0	0.0	0.00041440499999999996	4.2208e-05	0.0010398500000000001	0.0	0.0	5.37192e-05	9.40086e-05	0.0007367210000000001	0.0	0.0	4.41265e-05	0.0	0.0	0.0	3.83709e-06	0.0	0.0	0.0	1.91854e-06	0.0	0.0	0.0	0.0	0.0	9.592719999999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254015	0.0	0.0	0.0	0.0	0.0	3.83709e-05	0.0	0.0	0.00114921	0.0	3.83709e-06	0.0	0.00310996	0.0	0.0	0.00041440499999999996	0.0	0.0	0.0	0.0	0.00110508	3.83709e-06	0.0	3.83709e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00725209	0.0	0.0	0.000339582	0.0	3.83709e-06	0.0	0.0	0.0230455	0.011918	0.0	0.0062467799999999995	1.91854e-06	0.0	0.00041440499999999996	1.72669e-05	0.000805788	0.0	0.000324234	0.0193907	1.91854e-06	0.0071696	0.0005199250000000001	0.0	0.000314641	3.45338e-05	0.000308885	0.0	0.0157071	0.0	0.0	0.00011511300000000001	0.000103601	0.0	0.00559064	0.0	0.00575947	0.0	0.00290276	0.0	5.56378e-05	0.0	0.0	0.0110124	0.00204133	0.0	0.00597243	0.0	0.0	0.0	0.0034226800000000004	0.0	0.0
Hmi-ABas_010-Ex1-10A	0.13144	0.029448400000000003	0.0337006	4.1466e-05	1.88482e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000305341	0.0015455500000000001	0.00566954	0.00101026	0.00019602100000000003	0.0	0.0	0.0	0.0	0.0	0.0004900530000000001	0.0	0.000233718	0.0	0.0	0.0	7.539279999999999e-06	0.0	6.40839e-05	0.0	0.0	0.00041466	5.27749e-05	0.000991415	0.0	0.0	4.1466e-05	9.424100000000001e-05	0.000769006	0.0	0.0	9.424100000000001e-05	0.0	0.0	0.0	3.7696399999999997e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26178e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252189	0.0	0.0	0.0	0.0	0.0	3.01571e-05	0.0	0.0	0.00119875	0.0	3.7696399999999997e-06	0.0	0.0031174899999999997	0.0	0.0	0.000425969	0.0	0.0	0.0	1.5078600000000002e-05	0.00116105	1.13089e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007249020000000001	0.0	0.0	0.0004222	0.0	3.7696399999999997e-06	0.0	0.0	0.0232474	0.012315399999999999	0.0	0.0062953	3.7696399999999997e-06	0.0	0.0004222	2.26178e-05	0.0007953939999999999	0.0	0.000346807	0.0196021	0.0	0.00721509	0.0005315189999999999	0.0	0.000290262	3.39267e-05	0.000320419	0.0	0.015938	0.0	0.0	9.424100000000001e-05	0.00012439799999999998	0.0	0.0055753	0.0	0.00574493	3.7696399999999997e-06	0.00289131	0.0	4.52357e-05	0.0	0.0	0.011286299999999999	0.00201676	0.0	0.0059975	0.0	0.0	0.0	0.00335875	0.0	0.0
