#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	10928	9674	88.53	7	0.06	2	0.02	36	0.33	1209	11.06
Ecoli	10928	10928	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	10928	10928	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	10928	10926	99.98	0	0.00	0	0.00	0	0.00	2	0.02
Vectors	10928	10172	93.08	0	0.00	0	0.00	0	0.00	756	6.92
Bacteria_24k	10928	9822	89.87	3	0.03	17	0.16	12	0.11	1074	9.83
Protists_1k	10928	9137	83.61	44	0.40	86	0.79	25	0.23	1636	14.97
Viruses	10928	9869	90.31	0	0.00	1	0.01	15	0.14	1043	9.54
Fungi_RefSeq_release	10928	9296	85.07	11	0.10	26	0.24	20	0.18	1575	14.41
Coral	10928	9798	89.66	0	0.00	0	0.00	27	0.25	1103	10.09
Bird	10928	9742	89.15	10	0.09	0	0.00	45	0.41	1131	10.35
Plant	10928	9832	89.97	0	0.00	0	0.00	35	0.32	1061	9.71

%Hit_no_genomes: 82.83
