Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Leq-ABas_001_Ex1_L3_fastp	36.5971	36.6048	36.6118	36.625	36.6565	36.6581	36.6415	36.6416	36.634	36.6441	36.6216	36.6574	36.6144	36.6121	36.6287	36.6286	36.6004	36.5956	36.594	36.5805	36.5846	36.5695	36.5512	36.5422	36.5311	36.5033	36.4964	36.4946	36.4846	36.4707	36.4725	36.462	36.4475	36.4471	36.4289	36.42	36.4203	36.415	36.4064	36.3995	36.3886	36.3797	36.3766	36.3685	36.3561	36.3432	36.3383	36.3355	36.3295	36.3194	36.3168	36.3111	36.2986	36.297	36.273	36.2633	36.2477	36.2532	36.2542	36.2392	36.2345	36.2309	36.2134	36.2153	36.202	36.1895	36.1955	36.1825	36.1689	36.1682	36.1517	36.1327	36.1345	36.1312	36.0852	36.0925	36.0958	36.0753	36.0909	36.0763	36.0569	36.0483	36.0381	36.0208	36.0062	35.9937	36.0089	36.0096	36.0048	35.9908	35.9887	35.9945	35.9735	35.9564	35.9285	35.9405	35.9199	35.9255	35.9387	35.9436	35.9218	35.9146	35.9173	35.8763	35.8413	35.8419	35.8586	35.8362	35.8297	35.8475	35.8151	35.7779	35.7909	35.7855	35.7999	35.7926	35.772	35.7919	35.7501	35.7552	35.7197	35.7169	35.7057	35.6979	35.6964	35.6476	35.6125	35.6639	35.6019	35.6215	35.6163	35.5542	35.5683	35.5618	35.5403	35.5504	35.5885	35.5621	35.5295	35.5036	35.4524	35.4875	35.4744	35.463	35.5054	35.5495	35.4996	35.5254	35.6927	36.3529
Leq-ABas_002_Ex1_L3_fastp	36.5862	36.6023	36.6122	36.6253	36.6612	36.6611	36.6429	36.643	36.6377	36.6462	36.628	36.6611	36.6203	36.6182	36.634	36.6337	36.6082	36.6018	36.6029	36.5895	36.5928	36.5731	36.5545	36.5492	36.5344	36.5114	36.5025	36.5002	36.4938	36.4821	36.4803	36.4707	36.4577	36.4538	36.4326	36.4281	36.4215	36.4235	36.4115	36.4074	36.3981	36.3902	36.3832	36.3749	36.3587	36.3466	36.3445	36.3397	36.3369	36.3306	36.3286	36.3211	36.3076	36.308	36.2804	36.2623	36.2452	36.2575	36.2607	36.2466	36.244	36.2372	36.2213	36.2223	36.2086	36.19	36.1946	36.1855	36.1679	36.1677	36.1523	36.137	36.1448	36.1373	36.0818	36.0927	36.0973	36.0745	36.0897	36.0755	36.0597	36.0516	36.0403	36.0294	36.0024	35.9814	36.0035	36.0059	35.9985	35.9847	35.9806	35.9869	35.9608	35.9429	35.9233	35.9236	35.9075	35.9095	35.9249	35.9293	35.9127	35.9027	35.8999	35.859	35.8179	35.8184	35.8382	35.8146	35.8066	35.8219	35.7912	35.7554	35.7642	35.7635	35.7704	35.7661	35.7457	35.7686	35.7198	35.7248	35.6914	35.6848	35.673	35.6549	35.6611	35.6005	35.5763	35.6273	35.5644	35.5833	35.5728	35.5099	35.5189	35.5071	35.4888	35.4935	35.5394	35.5143	35.4771	35.4424	35.3915	35.4241	35.4096	35.3958	35.4508	35.4841	35.4338	35.4612	35.6288	36.3063
Leq-ABas_003_Ex1_L3_fastp	36.6276	36.6221	36.6283	36.6367	36.667	36.6655	36.6482	36.6474	36.6406	36.649	36.6264	36.6601	36.6186	36.619	36.633	36.6327	36.6041	36.6005	36.5989	36.5858	36.5893	36.5738	36.5542	36.546	36.5341	36.5088	36.5006	36.4983	36.4895	36.4752	36.4758	36.4659	36.4484	36.4492	36.43	36.4257	36.4225	36.4158	36.4064	36.4018	36.3881	36.3835	36.3777	36.3695	36.3588	36.3436	36.3359	36.3362	36.3283	36.3179	36.3169	36.3118	36.2991	36.2968	36.273	36.2612	36.2391	36.2507	36.2529	36.2385	36.2334	36.2307	36.2147	36.2145	36.1993	36.1834	36.1869	36.1778	36.1605	36.1604	36.1422	36.1287	36.1304	36.1243	36.0787	36.087	36.0841	36.068	36.0801	36.0649	36.0462	36.037	36.0262	36.0126	35.9912	35.9801	35.9949	35.9953	35.9875	35.9765	35.9721	35.9723	35.9589	35.9409	35.9148	35.926	35.8994	35.9036	35.9225	35.9195	35.8984	35.8922	35.8908	35.8479	35.8126	35.817	35.8297	35.8084	35.7979	35.8148	35.7827	35.7439	35.7487	35.7515	35.7624	35.7512	35.7339	35.75	35.7067	35.7112	35.6701	35.6609	35.6497	35.6358	35.6342	35.5835	35.5511	35.5996	35.5381	35.5497	35.5362	35.4753	35.4858	35.4696	35.4494	35.4612	35.4948	35.4749	35.435	35.3948	35.3445	35.3705	35.3516	35.341	35.3844	35.4266	35.3668	35.4005	35.5752	36.2862
Leq-ABas_004_Ex1_L3_fastp	36.6089	36.6126	36.6211	36.6372	36.6689	36.6685	36.6498	36.6487	36.6397	36.6455	36.6253	36.6613	36.6217	36.6207	36.6373	36.6362	36.609	36.6023	36.5991	36.5871	36.5892	36.5751	36.5576	36.5475	36.5393	36.5138	36.5081	36.5044	36.4939	36.4812	36.4821	36.4744	36.4579	36.4584	36.439	36.4333	36.4332	36.4239	36.4179	36.412	36.4012	36.3954	36.3925	36.383	36.3718	36.3583	36.3497	36.3437	36.3391	36.3319	36.3284	36.3288	36.3167	36.3141	36.2907	36.2779	36.2565	36.262	36.2664	36.2506	36.2473	36.2482	36.2326	36.2349	36.2188	36.2062	36.2072	36.1959	36.1773	36.1774	36.1611	36.1464	36.1523	36.1472	36.1035	36.1104	36.106	36.0849	36.0975	36.0858	36.0576	36.0565	36.0488	36.0292	36.0144	36.0076	36.018	36.0149	36.0086	35.9939	35.9858	35.9943	35.9782	35.9585	35.9372	35.9465	35.9221	35.9248	35.9386	35.9344	35.9166	35.9073	35.9116	35.8732	35.8398	35.8444	35.859	35.8334	35.8255	35.8412	35.8032	35.7672	35.7763	35.775	35.7977	35.7855	35.767	35.7817	35.7464	35.7455	35.7068	35.7022	35.6881	35.6776	35.6778	35.6301	35.5956	35.6493	35.5901	35.6046	35.5958	35.5312	35.5432	35.5341	35.512	35.5287	35.5664	35.5379	35.504	35.4789	35.4178	35.4473	35.4338	35.4219	35.4704	35.5199	35.4583	35.4865	35.661	36.3273
Leq-ABas_005_Ex1_L3_fastp	36.6379	36.6311	36.6394	36.6475	36.6769	36.6757	36.6602	36.661	36.6542	36.6632	36.6413	36.6755	36.6314	36.6292	36.6425	36.6416	36.615	36.6102	36.6121	36.5988	36.6002	36.5863	36.5672	36.5573	36.5443	36.5239	36.5174	36.5142	36.5074	36.4932	36.4967	36.4844	36.4701	36.4699	36.4513	36.4463	36.4499	36.4383	36.4329	36.4271	36.4157	36.4065	36.4047	36.3976	36.3876	36.3749	36.3677	36.3644	36.3597	36.3484	36.3469	36.3453	36.3315	36.3309	36.3088	36.2964	36.2818	36.2892	36.2913	36.2757	36.2726	36.2691	36.2521	36.2528	36.2402	36.227	36.2325	36.2258	36.2084	36.211	36.1904	36.1794	36.1816	36.1705	36.1326	36.1431	36.1383	36.1217	36.1368	36.1257	36.0996	36.0978	36.0855	36.0645	36.049	36.042	36.0562	36.056	36.0518	36.0422	36.0365	36.0403	36.0284	36.0059	35.9782	35.9931	35.9689	35.9763	35.9886	35.9916	35.977	35.9651	35.9689	35.9319	35.8995	35.9054	35.9128	35.8891	35.8886	35.9085	35.8745	35.8434	35.8554	35.8483	35.8707	35.8606	35.8418	35.8535	35.8163	35.8211	35.789	35.7885	35.7766	35.7644	35.7698	35.7159	35.6838	35.7344	35.679	35.6962	35.6832	35.6245	35.6483	35.6336	35.6097	35.6313	35.6693	35.6371	35.6087	35.5715	35.522	35.5569	35.5368	35.5337	35.5809	35.6205	35.5567	35.5859	35.734	36.3519
Leq-ABas_006_Ex1_L3_fastp	36.6196	36.6223	36.6247	36.6391	36.6696	36.6708	36.6518	36.6542	36.6446	36.6579	36.6349	36.6714	36.6331	36.6278	36.6463	36.6472	36.6207	36.6174	36.6155	36.6028	36.6049	36.5888	36.5755	36.5627	36.5535	36.5286	36.5167	36.5137	36.5057	36.4914	36.4955	36.4816	36.4679	36.4666	36.4519	36.4443	36.4452	36.4362	36.4285	36.4201	36.4093	36.404	36.4027	36.3906	36.3838	36.3722	36.365	36.3593	36.3565	36.3463	36.3427	36.3368	36.327	36.3247	36.3053	36.2969	36.2804	36.2865	36.289	36.2743	36.2691	36.2653	36.2496	36.2488	36.2389	36.2283	36.2292	36.2211	36.2049	36.21	36.1917	36.1765	36.1786	36.174	36.1301	36.141	36.137	36.1222	36.134	36.1251	36.0977	36.0927	36.0812	36.0628	36.0473	36.0421	36.0548	36.0547	36.0458	36.0422	36.0291	36.0364	36.0208	36.0005	35.9738	35.9889	35.9634	35.9698	35.9807	35.9816	35.9656	35.9556	35.954	35.9228	35.8884	35.8906	35.9013	35.8842	35.8757	35.8948	35.8599	35.8295	35.8365	35.8325	35.8493	35.8412	35.8225	35.8335	35.8016	35.8052	35.7697	35.7654	35.7555	35.7471	35.745	35.6977	35.6659	35.713	35.6622	35.6765	35.6632	35.6081	35.6231	35.6126	35.5912	35.6044	35.6382	35.6068	35.5792	35.5478	35.5026	35.5275	35.5139	35.5075	35.5505	35.591	35.5377	35.5652	35.7258	36.3626
Leq-ABas_007_Ex1_L3_fastp	36.5256	36.5569	36.5578	36.592	36.62	36.6259	36.5964	36.604	36.5867	36.6044	36.5743	36.6176	36.5771	36.5722	36.5876	36.5913	36.5574	36.5545	36.5647	36.5479	36.5489	36.5295	36.519	36.5029	36.4967	36.4648	36.466	36.4638	36.4421	36.4339	36.4357	36.428	36.4137	36.407	36.3937	36.3905	36.3924	36.3857	36.3778	36.3687	36.3487	36.3474	36.3449	36.348	36.3288	36.3202	36.3091	36.3072	36.3053	36.2934	36.2879	36.2939	36.2765	36.2771	36.2574	36.241	36.216	36.2408	36.2286	36.2079	36.2136	36.2188	36.2013	36.1909	36.1897	36.1689	36.1803	36.1694	36.1527	36.1578	36.1394	36.1208	36.1263	36.1258	36.0849	36.0849	36.0874	36.0672	36.0687	36.0681	36.0302	36.0277	36.0284	36.0202	35.9809	35.9934	36.0019	36.0067	35.9944	35.9777	35.9628	35.9878	35.9692	35.9511	35.9231	35.9328	35.9063	35.9176	35.9283	35.9269	35.907	35.8922	35.8948	35.8516	35.8253	35.8419	35.8441	35.829	35.8182	35.8334	35.8018	35.7704	35.7753	35.7616	35.7935	35.778	35.749	35.774	35.7398	35.7391	35.6992	35.7016	35.6715	35.7	35.6804	35.6175	35.5786	35.632	35.6033	35.6033	35.5924	35.5252	35.5597	35.5344	35.5315	35.5314	35.5598	35.5362	35.5187	35.4668	35.4125	35.4591	35.4609	35.4207	35.4785	35.5139	35.4636	35.4685	35.6438	36.3343
Leq-ABas_008_Ex1_L3_fastp	36.6299	36.6226	36.6329	36.6374	36.6702	36.6698	36.6511	36.6505	36.6412	36.6511	36.6276	36.6643	36.6266	36.6209	36.6381	36.6377	36.6099	36.6026	36.603	36.592	36.5936	36.5802	36.5643	36.555	36.5452	36.5209	36.5128	36.5099	36.5019	36.4933	36.4917	36.4817	36.4709	36.4706	36.4542	36.4489	36.4515	36.4396	36.4336	36.4289	36.4153	36.4132	36.4102	36.3982	36.3946	36.3773	36.3711	36.3682	36.3613	36.3556	36.3502	36.3517	36.3384	36.3351	36.3176	36.3063	36.2875	36.2936	36.2949	36.2839	36.2754	36.2746	36.2595	36.2611	36.2494	36.2355	36.237	36.2284	36.2093	36.2152	36.1955	36.183	36.1844	36.1768	36.1426	36.149	36.145	36.1283	36.1414	36.1276	36.1016	36.1012	36.0875	36.0696	36.0576	36.0493	36.062	36.058	36.0499	36.044	36.0329	36.0372	36.023	36.0018	35.9802	35.9915	35.9676	35.9685	35.986	35.9843	35.9659	35.9529	35.955	35.9161	35.8873	35.8881	35.8982	35.8769	35.8691	35.8869	35.8501	35.8184	35.8247	35.8237	35.8391	35.8291	35.8122	35.8238	35.7867	35.789	35.751	35.7446	35.7314	35.7204	35.7208	35.6709	35.6361	35.683	35.6301	35.641	35.6274	35.5674	35.5824	35.5668	35.5464	35.5625	35.5929	35.5656	35.5291	35.4898	35.4365	35.4668	35.4456	35.4353	35.4895	35.5216	35.459	35.4788	35.6367	36.3046
Leq-ABas_009_Ex1_L3_fastp	36.614	36.6171	36.6256	36.6374	36.666	36.6644	36.6418	36.6424	36.633	36.6445	36.6225	36.659	36.6172	36.6155	36.6329	36.6319	36.6061	36.6022	36.5985	36.587	36.588	36.5726	36.5583	36.5466	36.5366	36.5098	36.4982	36.4967	36.4846	36.4736	36.4751	36.4634	36.4517	36.4482	36.4335	36.4261	36.4263	36.417	36.4102	36.4015	36.3897	36.3841	36.3823	36.373	36.3648	36.3501	36.3432	36.3378	36.333	36.3217	36.3206	36.3169	36.3044	36.2994	36.2776	36.2686	36.2487	36.2554	36.2593	36.2406	36.2378	36.2335	36.2188	36.2184	36.2048	36.1908	36.1946	36.1826	36.1689	36.1713	36.1534	36.1396	36.1414	36.1314	36.0928	36.0997	36.0975	36.0824	36.0941	36.0792	36.0566	36.0499	36.0416	36.0203	36.0081	35.9979	36.0125	36.0104	35.9992	35.9908	35.9811	35.9854	35.9724	35.9496	35.9251	35.9373	35.9124	35.9171	35.929	35.9264	35.9067	35.898	35.8994	35.8581	35.8299	35.8329	35.8405	35.8225	35.8147	35.8284	35.7945	35.7623	35.7698	35.7692	35.7838	35.7753	35.7605	35.7681	35.7344	35.7344	35.6981	35.6919	35.6836	35.6739	35.6687	35.626	35.5901	35.6361	35.5885	35.6009	35.5865	35.5285	35.5459	35.5314	35.5106	35.5232	35.5535	35.5285	35.4968	35.4617	35.4188	35.4453	35.4276	35.4241	35.4661	35.5089	35.4563	35.4846	35.6518	36.3239
Leq-ABas_010_Ex1_L3_fastp	36.6524	36.6388	36.6424	36.6475	36.6761	36.6723	36.6544	36.6538	36.6464	36.6543	36.6351	36.6657	36.6216	36.6177	36.634	36.6325	36.6047	36.6002	36.6009	36.5892	36.5894	36.5766	36.5559	36.5443	36.534	36.5072	36.5013	36.5	36.4883	36.4787	36.4785	36.4662	36.4497	36.4483	36.4289	36.4218	36.4256	36.4159	36.4104	36.4026	36.3901	36.3829	36.3759	36.369	36.3601	36.3468	36.3407	36.3366	36.3296	36.3223	36.3179	36.3153	36.3002	36.2951	36.2749	36.2656	36.2452	36.2539	36.2565	36.2442	36.2374	36.234	36.2124	36.2149	36.2008	36.1884	36.1894	36.1836	36.1693	36.1714	36.1534	36.138	36.1396	36.132	36.0878	36.0957	36.0968	36.0806	36.0939	36.0809	36.0598	36.0538	36.0415	36.023	36.001	35.9979	36.0108	36.0102	36.0036	35.9954	35.9863	35.9905	35.9761	35.9535	35.9279	35.9374	35.9132	35.9166	35.9302	35.9339	35.9144	35.9077	35.9071	35.8682	35.8315	35.8351	35.8439	35.8202	35.8179	35.8333	35.7977	35.7643	35.771	35.7707	35.786	35.7728	35.7612	35.7699	35.728	35.7359	35.6928	35.6915	35.6792	35.6707	35.6686	35.6191	35.5841	35.6303	35.5759	35.5921	35.5787	35.5166	35.5324	35.5191	35.4994	35.5132	35.5482	35.5178	35.4849	35.4489	35.3999	35.4281	35.408	35.4045	35.451	35.4935	35.4348	35.4625	35.6333	36.3117
