Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Leq-ABas_001_Ex1_L3_clmp.r1	5.272744423742154	48.0	129.19395428688316	9.090909090909092	5934883.0
Leq-ABas_001_Ex1_L3_clmp.r2	5.936782197005314	48.0	129.22084597118427	9.090909090909092	5934883.0
Leq-ABas_002_Ex1_L3_clmp.r1	10.71964466255659	47.0	137.66738923230304	0.0	4334093.0
Leq-ABas_002_Ex1_L3_clmp.r2	11.88539338227821	48.0	137.6766938319044	0.0	4334093.0
Leq-ABas_003_Ex1_L3_clmp.r1	6.454682577417387	43.0	130.20554859524339	0.0	8493393.0
Leq-ABas_003_Ex1_L3_clmp.r2	7.156409481217878	43.0	130.22956526325817	0.0	8493393.0
Leq-ABas_004_Ex1_L3_clmp.r1	4.718709647628742	46.0	130.04980740972388	9.090909090909092	8122165.0
Leq-ABas_004_Ex1_L3_clmp.r2	5.408661523258431	47.0	130.07184180572546	9.090909090909092	8122165.0
Leq-ABas_005_Ex1_L3_clmp.r1	4.381557011446745	47.0	129.54718828439107	9.090909090909092	6156846.0
Leq-ABas_005_Ex1_L3_clmp.r2	4.943590851066702	47.0	129.57041917241392	9.090909090909092	6156846.0
Leq-ABas_006_Ex1_L3_clmp.r1	7.3685414307677775	49.0	135.5324310087551	0.0	12261737.0
Leq-ABas_006_Ex1_L3_clmp.r2	8.264954253335148	49.0	135.55594260421668	0.0	12261737.0
Leq-ABas_007_Ex1_L3_clmp.r1	3.164876322434367	49.0	138.71503389904328	0.0	275524.0
Leq-ABas_007_Ex1_L3_clmp.r2	3.3236527655316337	49.0	138.7326185740625	0.0	275524.0
Leq-ABas_008_Ex1_L3_clmp.r1	5.20286629109971	46.0	137.00857803652875	9.090909090909092	5884680.0
Leq-ABas_008_Ex1_L3_clmp.r2	5.773980409325958	46.0	137.02008418469654	9.090909090909092	5884680.0
Leq-ABas_009_Ex1_L3_clmp.r1	6.774748511803807	45.0	135.51271289596505	0.0	19864632.0
Leq-ABas_009_Ex1_L3_clmp.r2	7.990028871781547	45.0	135.52445049070127	0.0	19864632.0
Leq-ABas_010_Ex1_L3_clmp.r1	4.108356467211166	44.0	127.20048207189343	0.0	6143482.0
Leq-ABas_010_Ex1_L3_clmp.r2	4.548636113633563	44.0	127.21731942894925	0.0	6143482.0
Leq-ABas_011_Ex1_L3_clmp.r1	5.415273048276276	46.0	134.38464011789637	0.0	12496398.0
Leq-ABas_011_Ex1_L3_clmp.r2	6.351949718543025	46.0	134.40477680048284	0.0	12496398.0
Leq-ABas_012_Ex1_L3_clmp.r1	6.929318047882717	46.0	134.55260410864366	0.0	27647080.0
Leq-ABas_012_Ex1_L3_clmp.r2	8.253312204249568	46.0	134.57651697756145	0.0	27647080.0
Leq-ABas_013_Ex1-1_L3_clmp.r1	6.3135633605813695	52.0	137.79293350202158	9.090909090909092	1195104.0
Leq-ABas_013_Ex1-1_L3_clmp.r2	6.7822312309288435	52.0	137.80649215465766	9.090909090909092	1195104.0
