#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7506951	6796746	90.54	244046	3.25	67835	0.90	20241	0.27	378083	5.04
Ecoli	7506951	7505467	99.98	0	0.00	0	0.00	316	0.00	1168	0.02
PhiX	7506951	7506951	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7506951	7506445	99.99	0	0.00	0	0.00	7	0.00	499	0.01
Vectors	7506951	7393177	98.48	12	0.00	10	0.00	1259	0.02	112493	1.50
Bacteria_24k	7506951	6234051	83.04	230374	3.07	522608	6.96	33003	0.44	486915	6.49
Protists_1k	7506951	6695579	89.19	42843	0.57	44384	0.59	178716	2.38	545429	7.27
Viruses	7506951	7286738	97.06	1317	0.02	1450	0.02	17849	0.24	199597	2.66
Fungi_RefSeq_release	7506951	7166206	95.46	10315	0.14	1810	0.02	44092	0.59	284528	3.79
Coral	7506951	7293195	97.15	537	0.01	156	0.00	16182	0.22	196881	2.62
Bird	7506951	7260624	96.72	2374	0.03	334	0.00	22482	0.30	221137	2.95
Plant	7506951	7279877	96.98	763	0.01	297	0.00	14811	0.20	211203	2.81

%Hit_no_genomes: 74.60
