#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2903318	2751395	94.77	3064	0.11	1221	0.04	10578	0.36	137060	4.72
Ecoli	2903318	2903305	100.00	0	0.00	0	0.00	0	0.00	13	0.00
PhiX	2903318	2903318	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2903318	2903315	100.00	0	0.00	0	0.00	0	0.00	3	0.00
Vectors	2903318	2859707	98.50	11	0.00	0	0.00	511	0.02	43089	1.48
Bacteria_24k	2903318	2811087	96.83	676	0.02	1170	0.04	5913	0.20	84472	2.91
Protists_1k	2903318	2706547	93.22	11081	0.38	24343	0.84	4003	0.14	157344	5.42
Viruses	2903318	2810448	96.81	134	0.00	52	0.00	5167	0.18	87517	3.01
Fungi_RefSeq_release	2903318	2755012	94.90	2059	0.07	690	0.02	11624	0.40	133933	4.61
Coral	2903318	2807344	96.70	319	0.01	86	0.00	8418	0.29	87151	3.00
Bird	2903318	2788189	96.03	1544	0.05	223	0.01	11814	0.41	101548	3.50
Plant	2903318	2796131	96.31	428	0.01	98	0.00	8052	0.28	98609	3.40

%Hit_no_genomes: 92.66
