Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-ABas_001_Ex1_L3_clmp.fp2_r1_screen	637310.0	70526.0	82245.0	12690.0	2812.0	836.0	1050.0	784.0	15.0	0.0	0.0	663337.0	4440826.0
Leq-ABas_001_Ex1_L3_clmp.fp2_r2_screen	635887.0	70445.0	82043.0	12776.0	2779.0	793.0	982.0	755.0	14.0	0.0	0.0	667496.0	4438461.0
Leq-ABas_002_Ex1_L3_clmp.fp2_r1_screen	313272.0	1176411.0	30213.0	10750.0	612.0	440.0	287.0	237.0	7.0	0.0	0.0	786413.0	1995913.0
Leq-ABas_002_Ex1_L3_clmp.fp2_r2_screen	312707.0	1175619.0	30187.0	10860.0	608.0	429.0	285.0	241.0	7.0	0.0	0.0	787699.0	1995913.0
Leq-ABas_003_Ex1_L3_clmp.fp2_r1_screen	276486.0	135364.0	93776.0	13836.0	3656.0	1662.0	1504.0	1384.0	29.0	0.0	0.0	648408.0	7285076.0
Leq-ABas_003_Ex1_L3_clmp.fp2_r2_screen	276438.0	135295.0	93490.0	13907.0	3591.0	1720.0	1448.0	1320.0	42.0	0.0	0.0	652238.0	7281692.0
Leq-ABas_004_Ex1_L3_clmp.fp2_r1_screen	768167.0	376732.0	89355.0	11906.0	2838.0	1409.0	1065.0	1043.0	17.0	0.0	0.0	913823.0	5929142.0
Leq-ABas_004_Ex1_L3_clmp.fp2_r2_screen	766188.0	376224.0	89797.0	12114.0	2805.0	1421.0	1066.0	989.0	16.0	0.0	0.0	918974.0	5925903.0
Leq-ABas_005_Ex1_L3_clmp.fp2_r1_screen	469192.0	284142.0	68425.0	15278.0	1487.0	2796.0	787.0	536.0	17.0	1.0	0.0	508344.0	4787134.0
Leq-ABas_005_Ex1_L3_clmp.fp2_r2_screen	468627.0	284179.0	68762.0	15255.0	1461.0	2765.0	756.0	555.0	7.0	2.0	0.0	512319.0	4783451.0
Leq-ABas_006_Ex1_L3_clmp.fp2_r1_screen	884824.0	898006.0	142185.0	28383.0	4480.0	1790.0	1427.0	1169.0	45.0	1.0	0.0	1332593.0	8867896.0
Leq-ABas_006_Ex1_L3_clmp.fp2_r2_screen	886271.0	897722.0	141710.0	28433.0	4415.0	1833.0	1455.0	1128.0	57.0	0.0	1.0	1337959.0	8861815.0
Leq-ABas_007_Ex1_L3_clmp.fp2_r1_screen	18840.0	9173.0	2996.0	2820.0	86.0	69.0	27.0	19.0	1.0	0.0	0.0	20319.0	217941.0
Leq-ABas_007_Ex1_L3_clmp.fp2_r2_screen	18830.0	9112.0	3066.0	2832.0	70.0	72.0	26.0	26.0	1.0	0.0	0.0	21213.0	217043.0
Leq-ABas_008_Ex1_L3_clmp.fp2_r1_screen	285314.0	866559.0	53625.0	13146.0	872.0	1890.0	960.0	326.0	10.0	0.0	0.0	618633.0	4020921.0
Leq-ABas_008_Ex1_L3_clmp.fp2_r2_screen	285508.0	866371.0	54407.0	13087.0	904.0	1871.0	927.0	346.0	11.0	0.0	0.0	622007.0	4016817.0
Leq-ABas_009_Ex1_L3_clmp.fp2_r1_screen	492015.0	157962.0	243789.0	27382.0	10729.0	2807.0	3552.0	2991.0	59.0	0.0	0.0	1381269.0	17427055.0
Leq-ABas_009_Ex1_L3_clmp.fp2_r2_screen	493001.0	157491.0	245497.0	27690.0	10627.0	2839.0	3560.0	2833.0	52.0	1.0	0.0	1390813.0	17415206.0
Leq-ABas_010_Ex1_L3_clmp.fp2_r1_screen	205744.0	318709.0	70076.0	10962.0	2103.0	1746.0	880.0	854.0	11.0	1.0	0.0	483509.0	5027298.0
Leq-ABas_010_Ex1_L3_clmp.fp2_r2_screen	205298.0	318706.0	70048.0	10953.0	2107.0	1701.0	830.0	882.0	16.0	0.0	0.0	485891.0	5025461.0
Leq-ABas_011_Ex1_L3_clmp.fp2_r1_screen	465764.0	752227.0	144870.0	25413.0	5319.0	3234.0	1771.0	1434.0	29.0	0.0	0.0	1025828.0	10008186.0
Leq-ABas_011_Ex1_L3_clmp.fp2_r2_screen	466344.0	753253.0	145757.0	25399.0	5289.0	3233.0	1822.0	1361.0	39.0	0.0	0.0	1032095.0	9999483.0
Leq-ABas_012_Ex1_L3_clmp.fp2_r1_screen	694339.0	2683345.0	288308.0	36178.0	12158.0	3770.0	4089.0	2977.0	89.0	0.0	0.0	2478368.0	21221756.0
Leq-ABas_012_Ex1_L3_clmp.fp2_r2_screen	694467.0	2683285.0	287749.0	35990.0	12172.0	3806.0	3991.0	3012.0	94.0	1.0	0.0	2490024.0	21210786.0
Leq-ABas_013_Ex1-1_L3_clmp.fp2_r1_screen	169390.0	36686.0	13750.0	9027.0	228.0	279.0	79.0	81.0	4.0	0.0	0.0	144472.0	815180.0
Leq-ABas_013_Ex1-1_L3_clmp.fp2_r2_screen	169171.0	36633.0	13831.0	9014.0	218.0	304.0	83.0	76.0	2.0	1.0	0.0	144901.0	814942.0
Leq-ABas_013_Ex1-2_L3_clmp.fp2_r1_screen	467500.0	93915.0	226704.0	30004.0	9640.0	1675.0	3346.0	2524.0	47.0	0.0	0.0	1369479.0	14410337.0
Leq-ABas_013_Ex1-2_L3_clmp.fp2_r2_screen	466718.0	93728.0	228580.0	30038.0	9624.0	1735.0	3325.0	2564.0	61.0	0.0	0.0	1383414.0	14395384.0
Leq-ABas_014_Ex1_L3_clmp.fp2_r1_screen	693064.0	676261.0	122381.0	112844.0	3410.0	3252.0	1769.0	805.0	39.0	1.0	0.0	960038.0	8978484.0
Leq-ABas_014_Ex1_L3_clmp.fp2_r2_screen	693036.0	676478.0	121953.0	112777.0	3340.0	3285.0	1815.0	883.0	52.0	3.0	0.0	964863.0	8973863.0
Leq-ABas_015_Ex1_L3_clmp.fp2_r1_screen	752982.0	311881.0	87227.0	12125.0	2708.0	2767.0	1060.0	693.0	22.0	0.0	0.0	735301.0	5600185.0
Leq-ABas_015_Ex1_L3_clmp.fp2_r2_screen	752850.0	311304.0	87436.0	12135.0	2895.0	2756.0	1007.0	747.0	26.0	2.0	0.0	739362.0	5596431.0
Leq-ABas_016_Ex1_L3_clmp.fp2_r1_screen	1716157.0	317622.0	122173.0	26413.0	1954.0	5612.0	750.0	738.0	168.0	0.0	0.0	1224476.0	7326272.0
Leq-ABas_016_Ex1_L3_clmp.fp2_r2_screen	1714402.0	317365.0	122899.0	26491.0	1977.0	5540.0	719.0	697.0	161.0	0.0	0.0	1234406.0	7317678.0
Leq-ABas_017_Ex1_L3_clmp.fp2_r1_screen	1269308.0	204351.0	126957.0	11676.0	1542.0	3564.0	1040.0	426.0	38.0	0.0	0.0	887039.0	5551747.0
Leq-ABas_017_Ex1_L3_clmp.fp2_r2_screen	1267947.0	204320.0	127920.0	11648.0	1471.0	3557.0	1066.0	448.0	30.0	0.0	0.0	894786.0	5544495.0
Leq-ABas_018_Ex1_L3_clmp.fp2_r1_screen	900207.0	1251497.0	159763.0	47983.0	3814.0	6229.0	1533.0	1193.0	53.0	3.0	0.0	1321492.0	10334970.0
Leq-ABas_018_Ex1_L3_clmp.fp2_r2_screen	901659.0	1251161.0	160257.0	48259.0	3822.0	6299.0	1534.0	1103.0	41.0	6.0	0.0	1330849.0	10323747.0
