#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5688425	5011002	88.09	12247	0.22	2940	0.05	50125	0.88	612111	10.76
Ecoli	5688425	5688417	100.00	0	0.00	0	0.00	1	0.00	7	0.00
PhiX	5688425	5688425	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5688425	5687733	99.99	1	0.00	0	0.00	23	0.00	668	0.01
Vectors	5688425	5370257	94.41	47	0.00	8	0.00	1274	0.02	316839	5.57
Bacteria_24k	5688425	5219845	91.76	908	0.02	1097	0.02	21615	0.38	444960	7.82
Protists_1k	5688425	4785935	84.14	57530	1.01	105633	1.86	16724	0.29	722603	12.70
Viruses	5688425	5233874	92.02	247	0.00	262	0.00	17006	0.30	437036	7.68
Fungi_RefSeq_release	5688425	4983457	87.60	11293	0.20	2661	0.05	58324	1.03	632690	11.12
Coral	5688425	5208941	91.57	895	0.02	120	0.00	25691	0.45	452778	7.96
Bird	5688425	5138357	90.32	2924	0.05	295	0.01	40711	0.72	506138	8.90
Plant	5688425	5154305	90.62	1288	0.02	271	0.00	33794	0.59	498767	8.77

%Hit_no_genomes: 83.28
