#Fastq_screen version: 0.14.1	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1727965	1610764	93.22	2114	0.12	567	0.03	7411	0.43	107109	6.20
Ecoli	1727965	1727962	100.00	0	0.00	0	0.00	2	0.00	1	0.00
PhiX	1727965	1727965	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1727965	1727965	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1727965	1688801	97.73	9	0.00	2	0.00	344	0.02	38809	2.25
Bacteria_24k	1727965	1652340	95.61	261	0.02	328	0.02	4440	0.26	70596	4.09
Protists_1k	1727965	1581460	91.52	7578	0.44	14987	0.87	2441	0.14	121499	7.03
Viruses	1727965	1651563	95.58	68	0.00	100	0.01	3869	0.22	72365	4.19
Fungi_RefSeq_release	1727965	1611233	93.24	1490	0.09	453	0.03	8097	0.47	106692	6.17
Coral	1727965	1649293	95.45	145	0.01	32	0.00	5572	0.32	72923	4.22
Bird	1727965	1635725	94.66	1045	0.06	135	0.01	7937	0.46	83123	4.81
Plant	1727965	1639574	94.89	283	0.02	79	0.00	5875	0.34	82154	4.75

%Hit_no_genomes: 90.94
