"","Position","C.T","G.A"
"1",1,0.807150151294215,0.498928930748207
"2",2,0.76547611346179,0.50327399629437
"3",3,0.72378338091526,0.516568584218766
"4",4,0.68781215536052,0.524470023485918
"5",5,0.661548664903262,0.524356394444044
"6",6,0.644998048605403,0.518789832610375
"7",7,0.634805665991532,0.512489197005673
"8",8,0.626388342332935,0.510824218468578
"9",9,0.619104324115202,0.512365921369908
"10",10,0.61326117189483,0.514859638767918
"11",11,0.609123293337964,0.51683027002592
"12",12,0.606721218907309,0.517594565493985
"13",-12,0.521602548284733,0.60392175393222
"14",-11,0.521181591472676,0.606130950579965
"15",-10,0.519285096231557,0.610299406953468
"16",-9,0.517923919751688,0.615534075582463
"17",-8,0.518492976361218,0.62167302097627
"18",-7,0.521891646215247,0.629226461639861
"19",-6,0.527833139296801,0.639788948200867
"20",-5,0.532963775305362,0.656923293955304
"21",-4,0.535186086806474,0.682873123633309
"22",-3,0.532203631865071,0.718248660799042
"23",-2,0.52783801502449,0.759404587005192
"24",-1,0.534780428322451,0.801095031447259
