"","Position","C.T","G.A"
"1",1,0.226821209223344,0.234855020512133
"2",2,0.246339436599551,0.266528985095043
"3",3,0.257480194697216,0.290849033992251
"4",4,0.267741136410254,0.305914480352193
"5",5,0.280230248072399,0.312155022499886
"6",6,0.293781207698381,0.312480346319004
"7",7,0.30594787008801,0.310361802303429
"8",8,0.311481436459373,0.312054629074815
"9",9,0.313545603872531,0.315312562676957
"10",10,0.313521364581368,0.319257668019852
"11",11,0.31235988711156,0.323282992868465
"12",12,0.310869702711737,0.326851444964592
"13",-12,0.318807847463937,0.319111310874934
"14",-11,0.315892817315475,0.319830862075033
"15",-10,0.313112351825775,0.319658855520166
"16",-9,0.31054106041142,0.31827177481356
"17",-8,0.308488999934686,0.315012377332394
"18",-7,0.306120757933163,0.310191252028134
"19",-6,0.304456431132147,0.302066171809567
"20",-5,0.29901140554006,0.29410586050997
"21",-4,0.289166757910568,0.285529780533246
"22",-3,0.274924590025222,0.274194621476093
"23",-2,0.254841297321327,0.258304544994907
"24",-1,0.227245238903676,0.234439866312053
