"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0159888842128547,0.00323498969738284,1.15217430076675e-05,0.249096288840637,0.61360485506775,-37663.6944591271
"Std.",3.84398775931693e-05,4.62324918004035e-05,1.15018751793343e-05,0.01568995751249,0.00178946243808368,1.71704704560712
"Acceptance ratio",0.16964,0.14068,0.12978,0.1915,0.15786,0.57464
"0%",0.0158576093514503,0.00305568084993522,3.26177522862814e-09,0.192499786739383,0.605766785695769,-37678.4529208448
"2.5%",0.0159141375111258,0.00314602104633018,2.9192342704303e-07,0.218047671634347,0.610061305547343,-37667.7706881398
"5%",0.0159253032446387,0.00316076539952947,5.51777976729855e-07,0.223221072204353,0.610694647494419,-37666.9006367578
"7.5%",0.0159329919201958,0.00316976310992707,8.52848637312588e-07,0.225982460072447,0.611048742238284,-37666.4079900615
"10%",0.015939112782049,0.00317682804196087,1.15099685479684e-06,0.228915928607894,0.611327790105369,-37666.0380735511
"12.5%",0.0159441416934618,0.00318215871503192,1.46959521452512e-06,0.230785329999661,0.611540008303059,-37665.720073635
"15%",0.015948749735609,0.00318816338433132,1.7466599104566e-06,0.23274911038032,0.611751692594309,-37665.4673267056
"17.5%",0.015952357567508,0.00319261232092578,2.0662532312335e-06,0.234309789068707,0.611932905433034,-37665.2279222507
"20%",0.0159560704785775,0.00319627033364603,2.34199076424447e-06,0.235696925515789,0.612084778300466,-37665.0142457164
"22.5%",0.0159594917307461,0.00320051948757948,2.73145499483155e-06,0.237238965959372,0.61224417937673,-37664.8287650706
"25%",0.0159630423853549,0.00320384284491434,3.23206334291232e-06,0.238599890989744,0.612384711920799,-37664.6478727354
"27.5%",0.0159657787558397,0.00320681589228794,3.51401732989674e-06,0.239901192683717,0.612521125401955,-37664.4875763102
"30%",0.0159684609614441,0.0032098908858042,3.98164744738891e-06,0.241062875546825,0.612650745896396,-37664.3336797525
"32.5%",0.0159710931096854,0.00321336804110789,4.48973786540152e-06,0.242066489686324,0.612752644969039,-37664.1899167554
"35%",0.0159734614780024,0.00321682788047014,4.9909352340519e-06,0.2431298991079,0.612884481833166,-37664.0638007356
"37.5%",0.0159762807406527,0.00321980981696315,5.3986722872921e-06,0.244128829777071,0.612999092647675,-37663.9346562061
"40%",0.0159789126077737,0.00322285187204192,5.79893594329979e-06,0.245111936696793,0.613113868165012,-37663.8216140403
"42.5%",0.0159815410210997,0.00322597653213849,6.27393014453568e-06,0.246091033988309,0.613216506562002,-37663.700311681
"45%",0.0159841646054577,0.00322860684695877,6.73336399853568e-06,0.247218445307991,0.613338090561942,-37663.5857194109
"47.5%",0.0159866067527316,0.00323155745887864,7.39210150791394e-06,0.248078492363798,0.61346516180043,-37663.483227407
"50%",0.0159895856647702,0.0032343552648652,7.90282356360907e-06,0.249079401002426,0.613568400111478,-37663.3811426529
"52.5%",0.0159916350906549,0.00323723224131728,8.57629323313684e-06,0.250031753547066,0.613679955355644,-37663.2820796024
"55%",0.0159942634367394,0.00324008994073895,9.09988795436741e-06,0.250932123312517,0.613812785995922,-37663.1792725143
"57.5%",0.0159966077109639,0.00324310333618864,9.79749216629754e-06,0.251847508830722,0.613937877056731,-37663.0791813383
"60%",0.0159990422479137,0.00324591045829922,1.05914106778294e-05,0.252945057558129,0.614053118359522,-37662.9763728845
"62.5%",0.0160015781780922,0.00324855932183002,1.13070488044362e-05,0.254021898022859,0.614153522553468,-37662.8784630929
"65%",0.016004241503864,0.00325195511072469,1.22485957615622e-05,0.254982983630462,0.614296313716829,-37662.7829094661
"67.5%",0.0160061700268499,0.0032548078722593,1.31779433549487e-05,0.256218124493152,0.614415286765549,-37662.6932786884
"70%",0.0160088655736567,0.00325866593138668,1.40012732718221e-05,0.257276711394489,0.614541008035144,-37662.5933273825
"72.5%",0.0160120817824022,0.00326196975023156,1.50062012700759e-05,0.258577553221101,0.61468667702707,-37662.495936152
"75%",0.0160149554622392,0.00326485820019537,1.61255824066644e-05,0.259880358983275,0.614844707759078,-37662.4063443296
"77.5%",0.0160181051204479,0.00326790449151846,1.74714113590409e-05,0.26117854727806,0.615024289210918,-37662.3147673272
"80%",0.016021593104568,0.0032730636760722,1.87361414981084e-05,0.262449189421944,0.615157467396673,-37662.2184249686
"82.5%",0.016024880511897,0.00327779464249663,2.03683224013991e-05,0.263600054195685,0.615326693842821,-37662.1169861781
"85%",0.016029159317154,0.0032825990062006,2.19823263357065e-05,0.265139830353016,0.615476055203281,-37662.0142527122
"87.5%",0.0160339519084718,0.00328850494965936,2.42469901990647e-05,0.266929074008833,0.615672218455183,-37661.9084790294
"90%",0.016038620494712,0.0032955102596362,2.64818610868391e-05,0.268996182001302,0.615911156206994,-37661.7930684905
"92.5%",0.0160444999308799,0.00330404523506735,2.96327028315023e-05,0.271534251668537,0.616174226175517,-37661.6689554324
"95%",0.0160523110740027,0.00331208252234349,3.48260075523313e-05,0.275027706104187,0.616557652256043,-37661.5114851682
"97.5%",0.0160631450987668,0.00332833542237111,4.28317891571215e-05,0.279981852358386,0.617141091399394,-37661.3153417332
"100%",0.0161330443670538,0.0034036316491212,0.000128649836022732,0.317348805967663,0.620358033911189,-37660.7758790232
