#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3149278	2957510	93.92	8183	0.26	2250	0.07	17108	0.54	164227	5.21
Ecoli	3149278	3149207	100.00	0	0.00	0	0.00	25	0.00	46	0.00
PhiX	3149278	3149278	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3149278	3149277	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	3149278	3079357	97.78	14	0.00	1	0.00	1737	0.06	68169	2.16
Bacteria_24k	3149278	2995295	95.11	7801	0.25	18353	0.58	9944	0.32	117885	3.74
Protists_1k	3149278	2894160	91.90	18593	0.59	26831	0.85	13129	0.42	196565	6.24
Viruses	3149278	3035539	96.39	135	0.00	63	0.00	8696	0.28	104845	3.33
Fungi_RefSeq_release	3149278	2960600	94.01	5146	0.16	1177	0.04	18964	0.60	163391	5.19
Coral	3149278	3017622	95.82	879	0.03	145	0.00	14370	0.46	116262	3.69
Bird	3149278	2990608	94.96	2892	0.09	487	0.02	18459	0.59	136832	4.34
Plant	3149278	3017485	95.83	756	0.02	147	0.00	12435	0.39	118455	3.76

%Hit_no_genomes: 90.06
