#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1191322	1150969	96.61	1416	0.12	311	0.03	3673	0.31	34953	2.93
Ecoli	1191322	1191319	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	1191322	1191322	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1191322	1191322	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1191322	1182006	99.22	4	0.00	0	0.00	215	0.02	9097	0.76
Bacteria_24k	1191322	1166005	97.87	696	0.06	907	0.08	2122	0.18	21592	1.81
Protists_1k	1191322	1134721	95.25	4023	0.34	8114	0.68	1531	0.13	42933	3.60
Viruses	1191322	1168343	98.08	42	0.00	13	0.00	1827	0.15	21097	1.77
Fungi_RefSeq_release	1191322	1150571	96.59	883	0.07	403	0.03	3834	0.32	35631	2.99
Coral	1191322	1167143	97.97	126	0.01	34	0.00	2595	0.22	21424	1.80
Bird	1191322	1160945	97.46	771	0.06	161	0.01	3915	0.33	25530	2.14
Plant	1191322	1164560	97.75	180	0.02	34	0.00	2527	0.21	24021	2.02

%Hit_no_genomes: 94.59
