#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2913521	2597461	89.15	2908	0.10	775	0.03	12261	0.42	300116	10.30
Ecoli	2913521	2913517	100.00	0	0.00	0	0.00	1	0.00	3	0.00
PhiX	2913521	2913521	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2913521	2913520	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	2913521	2760680	94.75	8	0.00	1	0.00	844	0.03	151988	5.22
Bacteria_24k	2913521	2674751	91.80	736	0.03	964	0.03	7321	0.25	229749	7.89
Protists_1k	2913521	2554434	87.68	12366	0.42	23551	0.81	4714	0.16	318456	10.93
Viruses	2913521	2663614	91.42	134	0.00	40	0.00	7179	0.25	242554	8.33
Fungi_RefSeq_release	2913521	2608770	89.54	1755	0.06	404	0.01	13127	0.45	289465	9.94
Coral	2913521	2664598	91.46	232	0.01	135	0.00	10518	0.36	238038	8.17
Bird	2913521	2638936	90.57	1376	0.05	2020	0.07	13181	0.45	258008	8.86
Plant	2913521	2642418	90.69	746	0.03	256	0.01	11212	0.38	258889	8.89

%Hit_no_genomes: 87.06
