#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	872934	780489	89.41	4444	0.51	1217	0.14	349	0.04	86435	9.90
Ecoli	872934	872450	99.94	0	0.00	0	0.00	58	0.01	426	0.05
PhiX	872934	872934	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	872934	872559	99.96	0	0.00	0	0.00	2	0.00	373	0.04
Vectors	872934	802045	91.88	3	0.00	8	0.00	67	0.01	70811	8.11
Bacteria_24k	872934	558858	64.01	42825	4.91	110504	12.66	4969	0.57	155778	17.85
Protists_1k	872934	698211	79.99	7823	0.90	1753	0.20	44117	5.05	121030	13.86
Viruses	872934	788070	90.27	47	0.01	21	0.00	1015	0.12	83781	9.60
Fungi_RefSeq_release	872934	784176	89.83	879	0.10	155	0.02	1938	0.22	85786	9.83
Coral	872934	789792	90.47	2	0.00	2	0.00	572	0.07	82566	9.46
Bird	872934	789090	90.40	22	0.00	21	0.00	417	0.05	83384	9.55
Plant	872934	788829	90.37	13	0.00	6	0.00	438	0.05	83648	9.58

%Hit_no_genomes: 61.58
