#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3682968	321307	8.72	2209	0.06	716	0.02	4721	0.13	3354015	91.07
Ecoli	3682968	3682850	100.00	0	0.00	0	0.00	14	0.00	104	0.00
PhiX	3682968	3682968	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3682968	3682521	99.99	0	0.00	3	0.00	0	0.00	444	0.01
Vectors	3682968	1313829	35.67	1	0.00	0	0.00	1030	0.03	2368108	64.30
Bacteria_24k	3682968	314708	8.54	13296	0.36	36006	0.98	11779	0.32	3307179	89.80
Protists_1k	3682968	287390	7.81	4529	0.12	5994	0.16	15709	0.43	3369346	91.48
Viruses	3682968	377412	10.25	50	0.00	13	0.00	8389	0.23	3297104	89.52
Fungi_RefSeq_release	3682968	323755	8.80	737	0.02	109	0.00	5642	0.15	3352725	91.03
Coral	3682968	368631	10.01	60	0.00	7	0.00	12499	0.34	3301771	89.65
Bird	3682968	347672	9.44	85	0.00	238	0.01	8843	0.24	3326130	90.31
Plant	3682968	350673	9.53	100	0.00	24	0.00	8207	0.22	3323964	90.25

%Hit_no_genomes: 6.24
