#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	25216	20909	82.92	20	0.08	9	0.04	132	0.52	4146	16.44
Ecoli	25216	25215	100.00	0	0.00	0	0.00	1	0.00	0	0.00
PhiX	25216	25216	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	25216	25213	99.99	0	0.00	0	0.00	0	0.00	3	0.01
Vectors	25216	22288	88.39	0	0.00	0	0.00	22	0.09	2906	11.52
Bacteria_24k	25216	21623	85.75	5	0.02	28	0.11	71	0.28	3489	13.84
Protists_1k	25216	20506	81.32	101	0.40	196	0.78	74	0.29	4339	17.21
Viruses	25216	21510	85.30	2	0.01	2	0.01	70	0.28	3632	14.40
Fungi_RefSeq_release	25216	20997	83.27	12	0.05	6	0.02	93	0.37	4108	16.29
Coral	25216	21462	85.11	3	0.01	9	0.04	93	0.37	3649	14.47
Bird	25216	21153	83.89	8	0.03	89	0.35	104	0.41	3862	15.32
Plant	25216	21305	84.48	5	0.02	4	0.02	98	0.39	3804	15.09

%Hit_no_genomes: 80.28
