Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_001-SdA02001-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_002-SdA02002-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_003-SdA02003-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_004-SdA02004-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_005-SdA02005-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_006-SdA02006-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_006-SdA02006-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_007-SdA02007-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_007-SdA02007-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_008-SdA02008-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_008-SdA02008-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_009-SdA02009-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_009-SdA02009-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_010-SdA02010-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_010-SdA02010-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_011-SdA02011-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_011-SdA02011-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_012-SdA02012-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_012-SdA02012-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_013-SdA02013-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_013-SdA02013-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_014-SdA02014-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_014-SdA02014-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_015-SdA02015-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_015-SdA02015-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_016-SdA02016-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_016-SdA02016-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_017-SdA02017-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_017-SdA02017-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_019-SdA02019-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_019-SdA02019-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_020-SdA02020-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_020-SdA02020-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_021-SdA02021-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_021-SdA02021-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMar_022-SdA02022-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMar_022-SdA02022-L2-clmp-fp2-repr.R2	0.0	0.0
