#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1222733	1222408	99.97	207	0.02	38	0.00	62	0.01	18	0.00
Ecoli	1222733	1222733	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1222733	1222733	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1222733	1222730	100.00	1	0.00	1	0.00	0	0.00	1	0.00
Vectors	1222733	1222728	100.00	3	0.00	0	0.00	2	0.00	0	0.00
Bacteria_24k	1222733	1222705	100.00	14	0.00	3	0.00	9	0.00	2	0.00
Protists_1k	1222733	1221702	99.92	677	0.06	271	0.02	59	0.00	24	0.00
Viruses	1222733	1222710	100.00	15	0.00	0	0.00	7	0.00	1	0.00
Fungi_RefSeq_release	1222733	1222483	99.99	153	0.01	18	0.00	57	0.00	22	0.00
Coral	1222733	1222689	100.00	22	0.00	3	0.00	17	0.00	2	0.00
Bird	1222733	1222631	99.99	64	0.01	8	0.00	26	0.00	4	0.00
Plant	1222733	1222644	100.00	55	0.00	4	0.00	26	0.00	4	0.00

%Hit_no_genomes: 99.86
