#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2536073	2535810	99.99	147	0.01	25	0.00	62	0.00	29	0.00
Ecoli	2536073	2536073	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	2536073	2536073	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2536073	2536073	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	2536073	2536073	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bacteria_24k	2536073	2536044	100.00	14	0.00	6	0.00	8	0.00	1	0.00
Protists_1k	2536073	2535235	99.97	515	0.02	225	0.01	74	0.00	24	0.00
Viruses	2536073	2536054	100.00	13	0.00	0	0.00	4	0.00	2	0.00
Fungi_RefSeq_release	2536073	2535840	100.00	116	0.00	24	0.00	73	0.00	20	0.00
Coral	2536073	2536019	100.00	30	0.00	1	0.00	20	0.00	3	0.00
Bird	2536073	2535978	100.00	46	0.00	10	0.00	30	0.00	9	0.00
Plant	2536073	2535976	100.00	54	0.00	4	0.00	31	0.00	8	0.00

%Hit_no_genomes: 99.94
