#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2460463	2460189	99.99	148	0.01	34	0.00	72	0.00	20	0.00
Ecoli	2460463	2460463	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	2460463	2460463	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2460463	2460463	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	2460463	2460462	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Bacteria_24k	2460463	2460424	100.00	21	0.00	5	0.00	11	0.00	2	0.00
Protists_1k	2460463	2459607	99.97	548	0.02	223	0.01	62	0.00	23	0.00
Viruses	2460463	2460435	100.00	14	0.00	0	0.00	8	0.00	6	0.00
Fungi_RefSeq_release	2460463	2460240	99.99	131	0.01	10	0.00	60	0.00	22	0.00
Coral	2460463	2460412	100.00	21	0.00	4	0.00	21	0.00	5	0.00
Bird	2460463	2460377	100.00	38	0.00	8	0.00	32	0.00	8	0.00
Plant	2460463	2460352	100.00	54	0.00	9	0.00	39	0.00	9	0.00

%Hit_no_genomes: 99.94
