#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	445560	445551	100.00	7	0.00	0	0.00	1	0.00	1	0.00
Ecoli	445560	445560	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	445560	445560	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	445560	445560	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	445560	445560	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bacteria_24k	445560	445542	100.00	14	0.00	4	0.00	0	0.00	0	0.00
Protists_1k	445560	445504	99.99	33	0.01	22	0.00	0	0.00	1	0.00
Viruses	445560	445559	100.00	1	0.00	0	0.00	0	0.00	0	0.00
Fungi_RefSeq_release	445560	445550	100.00	7	0.00	1	0.00	1	0.00	1	0.00
Coral	445560	445560	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bird	445560	445554	100.00	5	0.00	1	0.00	0	0.00	0	0.00
Plant	445560	445555	100.00	3	0.00	2	0.00	0	0.00	0	0.00

%Hit_no_genomes: 99.98
