#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11961	11958	99.97	1	0.01	0	0.00	1	0.01	1	0.01
Ecoli	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bacteria_24k	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Protists_1k	11961	11954	99.94	6	0.05	0	0.00	0	0.00	1	0.01
Viruses	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Fungi_RefSeq_release	11961	11960	99.99	0	0.00	0	0.00	0	0.00	1	0.01
Coral	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bird	11961	11961	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Plant	11961	11959	99.98	1	0.01	0	0.00	1	0.01	0	0.00

%Hit_no_genomes: 99.92
