#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2959	2958	99.97	1	0.03	0	0.00	0	0.00	0	0.00
Ecoli	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bacteria_24k	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Protists_1k	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Viruses	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Fungi_RefSeq_release	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Coral	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Bird	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Plant	2959	2959	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 99.97
