#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1512538	943181	62.36	1461	0.10	303	0.02	8341	0.55	559252	36.97
Ecoli	1512538	1512497	100.00	0	0.00	0	0.00	3	0.00	38	0.00
PhiX	1512538	1512538	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1512538	1512536	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Vectors	1512538	1139897	75.37	3	0.00	0	0.00	1117	0.07	371521	24.56
Bacteria_24k	1512538	1004572	66.41	215	0.01	722	0.05	6908	0.46	500121	33.07
Protists_1k	1512538	907298	59.98	9052	0.60	18606	1.23	2970	0.20	574612	37.99
Viruses	1512538	995358	65.82	74	0.00	21	0.00	6406	0.42	510679	33.76
Fungi_RefSeq_release	1512538	946015	62.55	1195	0.08	215	0.01	9576	0.63	555537	36.73
Coral	1512538	992179	65.60	101	0.01	172	0.01	9738	0.64	510348	33.74
Bird	1512538	976670	64.58	485	0.03	74	0.00	10462	0.69	524847	34.70
Plant	1512538	974376	64.41	387	0.03	97	0.01	8483	0.56	529195	34.99

%Hit_no_genomes: 59.39
