#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	700755	446316	63.70	787	0.11	141	0.02	4439	0.63	249072	35.54
Ecoli	700755	700726	100.00	0	0.00	0	0.00	0	0.00	29	0.00
PhiX	700755	700755	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	700755	700754	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	700755	531022	75.78	0	0.00	3	0.00	734	0.10	168996	24.12
Bacteria_24k	700755	463100	66.08	3426	0.49	5643	0.81	4356	0.62	224230	32.00
Protists_1k	700755	424315	60.55	4630	0.66	7978	1.14	5502	0.79	258330	36.86
Viruses	700755	472847	67.48	19	0.00	40	0.01	3320	0.47	224529	32.04
Fungi_RefSeq_release	700755	449216	64.10	481	0.07	131	0.02	4624	0.66	246303	35.15
Coral	700755	471865	67.34	87	0.01	16	0.00	5349	0.76	223438	31.89
Bird	700755	462896	66.06	446	0.06	61	0.01	5049	0.72	232303	33.15
Plant	700755	461434	65.85	156	0.02	38	0.01	3726	0.53	235401	33.59

%Hit_no_genomes: 58.64
