Sample	Passed Filter	Low Quality	Too Many N	Too short
Tbi-ARos_001_Ex1b_L4_fastp	8410340.0	129182.0	1362.0	24960.0
Tbi-ARos_002_Ex1b_L4_fastp	14512460.0	306092.0	2330.0	95714.0
Tbi-ARos_003_Ex1b_L4_fastp	12132456.0	124926.0	1890.0	19078.0
Tbi-ARos_004_Ex1b_L4_fastp	6104916.0	176924.0	958.0	29846.0
Tbi-ARos_005_Ex1b_L4_fastp	31360990.0	388286.0	4938.0	74664.0
Tbi-ARos_006_Ex1b_L4_fastp	18220048.0	303530.0	2966.0	65566.0
Tbi-ARos_007_Ex1b_L4_fastp	13098924.0	227936.0	1990.0	32206.0
Tbi-ARos_008_Ex1b_L4_fastp	11235312.0	150640.0	1810.0	20012.0
Tbi-ARos_009_Ex1b_L4_fastp	5488674.0	207852.0	946.0	20132.0
Tbi-ARos_010_Ex1b_L4_fastp	2377226.0	56964.0	366.0	11432.0
Tbi-ARos_011_Ex1b_L4_fastp	22846342.0	562734.0	3872.0	82138.0
Tbi-ARos_012_Ex1b_L4_fastp	17562006.0	342598.0	2736.0	69760.0
Tbi-ARos_013_Ex1b_L4_fastp	49488486.0	522628.0	7770.0	99420.0
Tbi-ARos_014_Ex1b_L4_fastp	10436996.0	262812.0	1596.0	86564.0
Tbi-ARos_015_Ex1b_L4_fastp	5066078.0	172938.0	846.0	52624.0
Tbi-ARos_016_Ex1b_L4_fastp	13651006.0	147770.0	2286.0	20178.0
Tbi-ARos_017_Ex1b_L4_fastp	8451418.0	134984.0	1398.0	21164.0
Tbi-ARos_018_Ex1b_L4_fastp	5459056.0	160804.0	890.0	45060.0
Tbi-ARos_019_Ex1b_L4_fastp	35394624.0	607798.0	5832.0	110240.0
Tbi-ARos_020_Ex1b_L4_fastp	4044300.0	63508.0	572.0	12078.0
Tbi-ARos_021_Ex1b_L4_fastp	16693378.0	304588.0	2610.0	79390.0
Tbi-ARos_022_Ex1b_L4_fastp	6234180.0	177342.0	950.0	23784.0
Tbi-ARos_023_Ex1b_L4_fastp	14050256.0	423172.0	2092.0	168694.0
