#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6151629	5940308	96.57	5723	0.09	1400	0.02	17210	0.28	186988	3.04
Ecoli	6151629	6151629	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	6151629	6151629	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6151629	6151624	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	6151629	6112493	99.36	5	0.00	5	0.00	1053	0.02	38073	0.62
Bacteria_24k	6151629	6020409	97.86	787	0.01	980	0.02	8519	0.14	120934	1.97
Protists_1k	6151629	5872012	95.46	19526	0.32	33861	0.55	7041	0.11	219189	3.56
Viruses	6151629	6025261	97.95	129	0.00	47	0.00	8731	0.14	117461	1.91
Fungi_RefSeq_release	6151629	5943125	96.61	4006	0.07	983	0.02	18099	0.29	185416	3.01
Coral	6151629	6010887	97.71	608	0.01	254	0.00	12662	0.21	127218	2.07
Bird	6151629	5980396	97.22	3372	0.05	487	0.01	19963	0.32	147411	2.40
Plant	6151629	6005075	97.62	923	0.02	164	0.00	13694	0.22	131773	2.14

%Hit_no_genomes: 95.00
