#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1990904	1692597	85.01	4026	0.20	1509	0.08	8494	0.43	284278	14.28
Ecoli	1990904	1990877	100.00	0	0.00	0	0.00	14	0.00	13	0.00
PhiX	1990904	1990904	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1990904	1990903	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	1990904	1858831	93.37	8	0.00	0	0.00	787	0.04	131278	6.59
Bacteria_24k	1990904	1731113	86.95	3002	0.15	5414	0.27	7069	0.36	244306	12.27
Protists_1k	1990904	1658366	83.30	7654	0.38	17665	0.89	4375	0.22	302844	15.21
Viruses	1990904	1745318	87.67	80	0.00	49	0.00	7080	0.36	238377	11.97
Fungi_RefSeq_release	1990904	1693151	85.05	1852	0.09	491	0.02	8110	0.41	287300	14.43
Coral	1990904	1731655	86.99	288	0.01	40	0.00	8989	0.45	249932	12.55
Bird	1990904	1714204	86.10	962	0.05	79	0.00	10122	0.51	265537	13.34
Plant	1990904	1744053	87.61	272	0.01	47	0.00	7949	0.40	238583	11.98

%Hit_no_genomes: 82.21
