pos	5pC>T
1	0.00460883225583825
2	0.00826151520181605
3	0.0055477861628582
4	0.00674328449266784
5	0.00735302629355152
6	0.0103256242819264
7	0.011425855217711
8	0.00958468377166137
9	0.00977012832754967
10	0.0111519689777362
11	0.00909383886255924
12	0.00889474187591504
13	0.00968006659854257
14	0.00993763292020232
15	0.00979506126897212
16	0.00959268033030585
17	0.00998311245844466
18	0.0100969265312351
19	0.010420820215558
20	0.00977836361040653
21	0.0115206066071823
22	0.0102172510217251
23	0.011379541046354
24	0.0104987134797422
25	0.0101256306261747
